Concept,type,preferred label (cs),alternative label (cs),notation,is in scheme,has exact match,has narrower,is top concept in scheme,has broader
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/A,http://www.w3.org/2004/02/skos/core#Concept,"Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství",A,nace-cz,A,01,nace-cz,
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/A,http://www.w3.org/2004/02/skos/core#Concept,"Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství",A,nace-cz,A,02,nace-cz,
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/A,http://www.w3.org/2004/02/skos/core#Concept,"Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství",A,nace-cz,A,03,nace-cz,
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/A,https://w3id.org/stirdata/vocabulary/BusinessActivity,"Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství",A,nace-cz,A,01,nace-cz,
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/A,https://w3id.org/stirdata/vocabulary/BusinessActivity,"Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství",A,nace-cz,A,02,nace-cz,
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/A,https://w3id.org/stirdata/vocabulary/BusinessActivity,"Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství",A,nace-cz,A,03,nace-cz,
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/A,http://www.w3.org/2004/02/skos/core#Concept,"Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství",A,nace-cz,A,01,nace-cz,
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/A,http://www.w3.org/2004/02/skos/core#Concept,"Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství",A,nace-cz,A,02,nace-cz,
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/A,http://www.w3.org/2004/02/skos/core#Concept,"Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství",A,nace-cz,A,03,nace-cz,
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/A,https://w3id.org/stirdata/vocabulary/BusinessActivity,"Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství",A,nace-cz,A,01,nace-cz,
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/A,https://w3id.org/stirdata/vocabulary/BusinessActivity,"Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství",A,nace-cz,A,02,nace-cz,
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/A,https://w3id.org/stirdata/vocabulary/BusinessActivity,"Zemědělství, lesnictví, rybářství","Zemědělství, lesnictví, rybářství",A,nace-cz,A,03,nace-cz,
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/01,http://www.w3.org/2004/02/skos/core#Concept,"Rostlinná a živočišná výroba, myslivost a související činnosti","Rostlinná a živočišná výroba, myslivost a souvis. činnosti",01,nace-cz,01,011,,A
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/01,http://www.w3.org/2004/02/skos/core#Concept,"Rostlinná a živočišná výroba, myslivost a související činnosti","Rostlinná a živočišná výroba, myslivost a souvis. činnosti",01,nace-cz,01,012,,A
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/01,http://www.w3.org/2004/02/skos/core#Concept,"Rostlinná a živočišná výroba, myslivost a související činnosti","Rostlinná a živočišná výroba, myslivost a souvis. činnosti",01,nace-cz,01,013,,A
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/01,http://www.w3.org/2004/02/skos/core#Concept,"Rostlinná a živočišná výroba, myslivost a související činnosti","Rostlinná a živočišná výroba, myslivost a souvis. činnosti",01,nace-cz,01,014,,A
https://obchodní-rejstřík.stirdata.opendata.cz/zdroj/číselníky/nace-cz/položky/01,http://www.w3.org/2004/02/skos/core#Concept,"Rostlinná a živočišná výroba, myslivost a související činnosti","Rostlinná a živočišná výroba, myslivost a souvis. činnosti",01,nace-cz,01,015,,A
