Subject,type,alternative label (cs),alternative label (en),is in scheme,notation,preferred label (cs),preferred label (en),Temporal Coverage,note (cs),definition (cs),hasBeginning,hasEnd,inXSDDate,je-nespecifikovaný
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1000,http://www.w3.org/2004/02/skos/core#Concept,Svět,World,1999-01-01,1000,Svět,World,0,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1010,http://www.w3.org/2004/02/skos/core#Concept,Evropská unie (vývojově),European Union (evolutionary definition),1999-01-01,1010,Evropská unie (vývojově),European Union (evolutionary definition),88,"V materiálu EUROSTATU ""Geonomenclature applicable to European statistics on international trade in goods - 2017 edition"" jsme zaznamenaly v roce 2017 změnu v anglickém názvu této položky. Původní název položky „European Union (evolutionary)“ doznal změny na nový název položky „European Union (evolutionary definition)“. Český název zůstal nezměněn („Evropská unie (vývojově“). Tato změna anglického názvu položky byla v číselníku zavedena od 1. 1. 2018.",,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1011,http://www.w3.org/2004/02/skos/core#Concept,Země mimo Evropskou unii (vývojově),Extra-European Union (evolutionary definition),1999-01-01,1011,Země mimo Evropskou unii (vývojově),Extra-European Union (evolutionary definition),121,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1013,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna od roku 1999 (vývojově),Euro area since 1999 (evolutionary definition),1999-01-01,1013,Eurozóna od roku 1999 (vývojově),Euro area since 1999 (evolutionary definition),154,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1014,http://www.w3.org/2004/02/skos/core#Concept,Země mimo eurozónu 1999 (vývojově),Extra-euro area since 1999 (evolutionary definition),1999-01-01,1014,Země mimo eurozónu 1999 (vývojově),Extra-euro area since 1999 (evolutionary definition),25,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1021,http://www.w3.org/2004/02/skos/core#Concept,ESVO,EFTA,1999-01-01,1021,Evropské sdružení volného obchodu,European Free Trade Association,58,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1031,http://www.w3.org/2004/02/skos/core#Concept,AKT,ACP,1999-01-01,1031,"""Africké, karibské a tichomořské země""","""African, Caribbean and Pacific countries""",76,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1051,http://www.w3.org/2004/02/skos/core#Concept,Země Středomoří (bez EU),Mediterranean basin countries (excluding EU),1999-01-01,1051,Země Středomoří (bez EU),Mediterranean basin countries (excluding EU),79,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1053,http://www.w3.org/2004/02/skos/core#Concept,OPEC,OPEC,1999-01-01,1053,Organizace zemí vyvážejících ropu,Organisation of Petroleum Exporting Countries,82,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1055,http://www.w3.org/2004/02/skos/core#Concept,UfM (bez EU),UfM (excluding EU),1999-01-01,1055,Unie pro Středomoří (bez EU),Union for the Mediterranean (excluding EU),85,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1057,http://www.w3.org/2004/02/skos/core#Concept,ASEAN,ASEAN,1999-01-01,1057,Sdružení národů jihovýchodní Asie,Association of South-East Asian Nations,91,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1058,http://www.w3.org/2004/02/skos/core#Concept,Latinskoamerické země,Latin American countries,1999-01-01,1058,Latinskoamerické země,Latin American countries,94,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1059,http://www.w3.org/2004/02/skos/core#Concept,SAARC,SAARC,1999-01-01,1059,Jihoasijské sdružení pro regionální spolupráci,South Asian Assotiation for Regional Cooperation,97,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1090,http://www.w3.org/2004/02/skos/core#Concept,Různé - nespecifikované a nevymezené země,Miscellaneous-countries not specified and countries not det.,1999-01-01,1090,Různé - nespecifikované a nevymezené země,Miscellaneous - countries not specified and countries not determined,100,"""V materiálu EUROSTATU ""Geonomenclature applicable to European statistics on international trade in goods - 2017 edition"" jsme zaznamenaly v roce 2017 výskyt nových položek 1090, 1091 a 1092. Tyto položky byly zavedeny do číselníku od 1. 1. 2018.""",,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1091,http://www.w3.org/2004/02/skos/core#Concept,"""Různé - nespecifikované země, interní""",Miscellaneous - countries not specified intra,1999-01-01,1091,"""Různé - nespecifikované země, interní""",Miscellaneous - countries not specified intra,103,"""V materiálu EUROSTATU ""Geonomenclature applicable to European statistics on international trade in goods - 2017 edition"" jsme zaznamenaly v roce 2017 výskyt nových položek 1090, 1091 a 1092. Tyto položky byly zavedeny do číselníku od 1. 1. 2018.""",,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1092,http://www.w3.org/2004/02/skos/core#Concept,"""Různé - nespecifikované země, externí""",Miscellaneous - countries not specified extra,1999-01-01,1092,"""Různé - nespecifikované země, externí""",Miscellaneous - countries not specified extra,106,"""V materiálu EUROSTATU ""Geonomenclature applicable to European statistics on international trade in goods - 2017 edition"" jsme zaznamenaly v roce 2017 výskyt nových položek 1090, 1091 a 1092. Tyto položky byly zavedeny do číselníku od 1. 1. 2018.""",,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1110,http://www.w3.org/2004/02/skos/core#Concept,Evropská unie (15),European Union (15),1999-01-01,1110,Evropská unie (15),European Union (15),109,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1111,http://www.w3.org/2004/02/skos/core#Concept,Evropská unie (25),European Union (25),1999-01-01,1111,Evropská unie (25),European Union (25),112,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1112,http://www.w3.org/2004/02/skos/core#Concept,Evropská unie (27),European Union (27),1999-01-01,1112,Evropská unie (27),European Union (27),115,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1113,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (12),Euro-zone (12),1999-01-01,1113,Eurozóna (12),Euro-zone (12),118,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1114,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (13),Euro-zone (13),1999-01-01,1114,Eurozóna (13),Euro-zone (13),124,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1115,http://www.w3.org/2004/02/skos/core#Concept,EHP,EEA,1999-01-01,1115,Evropský hospodářský prostor,European Economic Area,127,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1116,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (15),Euro-zone (15),1999-01-01,1116,Eurozóna (15),Euro-zone (15),130,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/1117,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (16),Euro-zone (16),1999-01-01,1117,Eurozóna (16),Euro-zone (16),133,,,,,,
