Subject,Type
https://w3id.org/italia/env/ld/ihi/economicindicator/cb030a/101_18,https://w3id.org/italia/env/ld/skos/ihi/l_qe_lavfin
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@20_5728/xm1_3,https://w3id.org/italia/env/ld/skos/ihi/_l_importo_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_4350/xm1_3,https://w3id.org/italia/env/ld/skos/ihi/_l_importo_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/cb030a/101_10,https://w3id.org/italia/env/ld/skos/ihi/l_qe_oneriart92prog
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_7404/xm1_3,https://w3id.org/italia/env/ld/skos/ihi/_l_importo_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/050/091_1,https://w3id.org/italia/env/ld/skos/ihi/_l_or_i_stima_valore_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/co051b/101_22,https://w3id.org/italia/env/ld/skos/ihi/l_qe_spesetecfin
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@21_2846/xm1_3,https://w3id.org/italia/env/ld/skos/ihi/_l_importo_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/dpc@19_3203/xm1_1,https://w3id.org/italia/env/ld/skos/ihi/_l_or_i_stima_valore_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/ud026c/101_1,https://w3id.org/italia/env/ld/skos/ihi/_l_or_i_stima_valore_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/dait@22_0045/xm1_3,https://w3id.org/italia/env/ld/skos/ihi/_l_importo_lotto
https://w3id.org/italia/env/ld/ihi/economicindicator/258/091_4,https://w3id.org/italia/env/ld/skos/ihi/l_qe_totgenprog
