"Subject","amountFinanced"
"https://w3id.org/italia/env/ld/ihi/intervention/dpc@20_5773/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@22_0507/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@21_1386/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@23_0545/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1538/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@21_2119/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/me120a/10","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@21_0133/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_0761/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@21_2790/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1916/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3294/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_2518/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3735/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@23_0384/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dpc@22_5919/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@21_4889/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@22_0977/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@21_7264/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@22_0817/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@21_6884/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1773/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1059/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dpc@21_6264/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dpc@21_6865/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3561/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@21_0108/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/ms047a/10","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/176/09","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/20ir019/mt","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_0401/xm","http://qudt.org/1.1/vocab/unit#Euro"
"https://w3id.org/italia/env/ld/ihi/intervention/dait@21_5252/xm","http://qudt.org/1.1/vocab/unit#Euro"
