Subject,openingHoursSpecification,má-kontakt,hasEnd,hasEmail,má-vstupné,hasBeginning,Description (cs),Description (en),rest,má-vykonavatele-majetkových-práv-autorských-u-autorského-díla,inXSDDateTimeStamp,hasURL,druh (cs),druh (en),má-přílohu,downloadUrl,databáze-chráněná-zvláštními-právy-pořizovatele-databáze,legalName (cs),notation,má-podmínky-užití,geometry,first,originální-databáze,licence-autorského-díla,coordinates,encodingFormat,obsahuje-více-autorských-děl,Type,má-časový-interval,Title (cs),Title (en),superEvent,obsahuje-osobní-údaje,type,obsahuje-autorské-dílo
https://www.gotobrno.cz/akce/100-let-tradice-vanocniho-stromu-republiky/,0,,,,,,"""Přijďte s&nbsp;námi oslavit 100 let krásné tradice Vánočního stromu republiky! Výstava v&nbsp;Muzeu města Brna vás přenese do historie okamžiků, kdy Brno každý rok symbolicky rozsvěcuje své Vánoce.Zažijte jedinečný příběh, který začal v&nbsp;roce 1924 a&nbsp;stal se neodmyslitelnou součástí adventu. Těšit se můžete na vzácný obraz Lidušky Polákové, ztotožněný teprve nedávno a&nbsp;vystavený vůbec poprvé, i&nbsp;na promítání fotografií zaslaných samotnými Brňany. Bude tam i&nbsp;vaše fotka?Jako součást výstavy jsme připravili i&nbsp;unikátní kolekci deseti vánočních stromků, každý z&nbsp;nich ozdobený ve stylu určité dekády – od prvorepublikové elegance, přes skromnost válečných let, až po moderní výzdobu. Každý stromek dokonale vystihuje atmosféru své doby, díky čemuž se můžete vydat na vizuální cestu, která vám ukáže, jak se styl vánočních ozdob proměňoval podle vkusu, dostupnosti i&nbsp;společenských změn.""",,,,,,,,,,,,,,1,,,,,,,výstava,,100 let tradice Vánočního stromu republiky,,,,,
https://www.gotobrno.cz/akce/32-vanoce-na-brnenske-radnici/,5,,,,,,"""Na Nové radnici bude připraven program pro malé i&nbsp;velké. Čekají na vás divadelní a&nbsp;hudební představení, vánoční fotokoutek nebo dílničky pro děti. Dospělí si prohlédnou historické sály na komentované prohlídce a&nbsp;nebude chybět ani betlémské světlo.Akce má i&nbsp;letos charitativní rozměr. Můžete přinést zásoby do potravinové sbírky anebo přispět brněnskému Sociálnímu nadačnímu fondu.&nbsp;""",,,,,,,,,,,,,,6,,,,,,,"divadlo,koncert",,32. Vánoce na brněnské radnici,,,,,
https://www.gotobrno.cz/akce/73-slovacky-ples/,10,,,,,,"""Slovácký krúžek v&nbsp;Brně Vás srdečně zve na 73. Slovácký ples, který se koná v&nbsp;kulturním centru Semilasso.K poslechu i&nbsp;tanci zahrají dechová hudba Voděnka z&nbsp;Kozlan a&nbsp;cimbálová muzika Repetuša. Jako vždy se můžete těšit i&nbsp;na cimbálovou muziku Slováckého krúžku v&nbsp;Brně.Během večera vystoupí s&nbsp;tanečním pásmem Slovácký krúžek Svatobořice-Mistřín.""",,,,,,,,,,,,,,11,,,,,,,koncert,,73. Slovácký ples,,,,,
https://www.gotobrno.cz/akce/adventni-gospely-se-stellou-jones-the-christmas-singers/,15,,,,,,"""Gospelová skupina The Christmas Gospel Singers okouzlila svými pěveckými výkony diváky po celém světě. Soubor sdružuje řadu talentů s&nbsp;jedinečnými hlasovými schopnostmi a&nbsp;přináší divákům vystoupení, jehož poselstvím je šířit radost a&nbsp;sdílet lásku ke gospelové hudbě.Vůdčí osobností souboru je Stella Jones, zpěvačka, jejíž žánrové zaměření kromě gospelu zasahuje ke stylům jazz, pop, funk a&nbsp;soul. Stella se narodila v&nbsp;Berlíně a&nbsp;již od mala byla obklopena hudbou a&nbsp;uměním jako takovým. V&nbsp;pěti letech dostala od svého otce, amerického jazzového trumpetisty Carmela Jonese, první klávesy a&nbsp;od té doby se intenzivně věnuje hudbě. Již v&nbsp;devíti letech skládala vlastní písně a&nbsp;začínala vytvářet audio knihy s&nbsp;vlastními malbami a&nbsp;komiksy.Tvořila také své vlastní loutky. Poté, co se přestěhovala do Vídně, začala vystupovat v&nbsp;místních jazzových klubech. V&nbsp;roce 1984 začala nahrávat a&nbsp;vystupovat v&nbsp;muzikálech. Mezi ty nejznámější jistě patří The Rocky Horror Picture Show. O&nbsp;osm let později se umístila na prvním místě rakouské hitparády s&nbsp;uskupením Powerpack. Poté reprezentovala Rakousko v&nbsp;soutěži Eurovision v&nbsp;Dublinu. Po této zkušenosti navázala spolupráci se známými umělci, jako např. Maceo Parkerem, The Duke Ellington Orchestra, Gloria Gaynor či Chaka Khan. V&nbsp;létě 2016 vystoupila v&nbsp;rámci série MTV Unplugged.""",,,,,,,,,,,,,,16,,,,,,,koncert,,Adventní gospely se Stellou Jones &amp; The Christmas Singers,,,,,
https://www.gotobrno.cz/akce/adventni-navsteva-expozice-vita-christi-s-pripominkou-narozeni-jezise-krista/,19,,,,,,"""Ve stálé expozici Diecézního muzea Vita Christi jsou instalována hodnotná umělecká díla především z&nbsp;farností brněnské diecéze, která vypráví příběh Ježíše Krista, včetně událostí spojených s&nbsp;jeho narozením.Návštěvníci uvidí mimo jiné vysoce ceněný gotický deskový obraz Madona z&nbsp;Veveří z&nbsp;dílny Mistra Vyšebrodského oltáře, reliéf Narození Páně z&nbsp;gotické oltářní archy v&nbsp;Mostištích, působivý obraz Klanění Tří králů od neznámého holandského, či nejstarší datovanou dřevěnou sochu na Moravě &#8211; Madona z&nbsp;Klobouk, která vznikla kolem roku 1200.V expozici si mohou návštěvníci uvědomit podstatu a&nbsp;původ adventu a&nbsp;vánočních svátků.U příležitosti letošního adventního období je všem návštěvníkům zpřístupněna expozice za jednotné adventní vstupné ve výši 40,- Kč!""",,,,,,,,,,,,,,20,,,,,,,výstava,,Adventní návštěva expozice Vita Christi s&nbsp;připomínkou Narození Ježíše Krista,,,,,
https://www.gotobrno.cz/akce/akvarelovy-workshop-s-vinem/,24,,,,,,"""Multikulturní centrum Brusinka a&nbsp;ilustrátorka Ksenija Doležalová vás srdečně zvou na další umělecký workshop!Umělecký večer s&nbsp;vínem vám poskytne příležitost strávit několik inspirativních hodin v&nbsp;tvůrčí a&nbsp;podporující atmosféře.Během našeho kreativního workshopu namalujete interiérový obraz pod vedením profesionálního umělce. Ochutnáte víno a&nbsp;budete mít možnost komunikovat se zajímavými lidmi v&nbsp;angličtině.Vaše výtvarné dovednosti nejsou důležité – pomůžeme vám vytvořit vlastní obraz na plátně, i&nbsp;když jste nikdy nedrželi štětec v&nbsp;ruce.""","""The Multicultural Center Brusinka and illustrator Ksenija Doležalová warmly invite you to another art workshop, which will take place on Saturday, November 16th!The Art Evening with wine will give you the opportunity to spend several inspiring hours in a&nbsp;creative and supportive atmosphere.During our creative workshop, you will paint an interior artwork under the guidance of a&nbsp;professional artist. You will taste some wine and have the chance to communicate with interesting people in English.Your artistic skills are not important – we will help you create your own painting on canvas, even if you have never held a&nbsp;brush before.""",,,,,,,,,,,,,25,,,,,,,,,Akvarelový workshop s&nbsp;vínem,Watercolor Art Workshop with vine,,,,
https://www.gotobrno.cz/akce/alcina/,29,,,,,,"""Mocná kouzelnice Alcina vytvořila na ostrově velkolepý palác v&nbsp;pře­krásné krajině, kam láká milence do sítí své moci. Jedním z&nbsp;nich je i&nbsp;saracénský rytíř Ruggiero, který podlehne jejím kouzlům a&nbsp;zapomene na svou snoubenku Bradamante. Ta se ho však nehodlá vzdát a&nbsp;v&nbsp;pře­vleku se vydává Ruggiera zachránit.Největším kouzlem Händelovy opery je však jeho hudba a Alcina v sobě skrývá jedny z&nbsp;nejkrásnější hudebních čísel napsaných pro lidský hlas, protože málokterý autor dokázal projevit ve svých dílech tak výjimečnou melodickou invenci, schopnost dramatického cítění, a&nbsp;především hluboké porozumění pro to, co se skrývá v&nbsp;hlubinách lidských duší. Po úspěšném nastudování Purcellova Dido a&nbsp;Aeneas se do brněnské opery vrátil dirigent Václav Luks a&nbsp;tentokrát si vzal s&nbsp;sebou celý orchestr Collegium 1704, který dnes patří k&nbsp;nejlepším ansámblů na poli historicky poučené interpretace. Diváci se tak mohou těšit nejen na skvělé pěvecké výkony, ale i&nbsp;na hudbu v&nbsp;provedení na barokní nástroje. Partnerem inscenace je nejen Colle­gium 1704, ale i&nbsp;francouzská divadla v&nbsp;Caen a&nbsp;Versailles.Nastudováno v&nbsp;italském originále s&nbsp;českými, anglickými a&nbsp;německými titulky.Premiéra: 5.&nbsp;února 2022 v&nbsp;Janáčkově divadle""",,,,,,,,,,,,,,30,,,,,,,"divadlo,koncert",,Alcina,,,,,
https://www.gotobrno.cz/akce/antigona-v-novem-yorku/,33,,,,,,"""Radši bez domova než bez hrobuTěm třem se splnil sen! Dostali se až do Ameriky! Jenže teď žijí na lavičce v&nbsp;newyorském „Sherwoodu“. Ruský Žid Saša a&nbsp;Polák Bleška hostí ve své detašované „střední Evropě“ Portorikánku Anitu. Řadu ideálů a&nbsp;mravních zásad vzal hlad a&nbsp;mráz, ale když jde o&nbsp;důstojný pohřeb jejich bližního, ještě se přimějí k&nbsp;činu.Tak jako před tisíci lety bájná Antigona, královská dcera, která navzdory státnímu nařízení pohřbila svého bratra „v branách města“. Namísto antických vládců máme tu ovšem tři bezdomovce a&nbsp;jednoho policistu. A&nbsp;mnoho černého humoru, pro který na kothurnech vysoké tragédie nebylo místo. Nejslavnější hru Janusze Głowackého (1938–2017), „polského McDonagha“, ve svém vlastním kongeniálním překladu zinscenuje matador hereckého divadla Janusz Klimsza, který v&nbsp;Brně bude režírovat vůbec poprvé. Komorní obsazení předních herců Činohry NdB slibuje herecký koncert značky „kvartet pro etnické nástroje“.Premiéra: 21.&nbsp;května 2025 v&nbsp;divadle Reduta""",,,,,,,,,,,,,,34,,,,,,,divadlo,,Antigona v&nbsp;Novém Yorku,,,,,
https://www.gotobrno.cz/akce/autenticke-prohlidky-2023-brnenske-betlemy/,37,,,,,,"""Rádi byste se během svátků prošli ve městě a&nbsp;něco se dozvěděli? Vydejte se s&nbsp;námi na vánočně laděnou prohlídku po betlémech umístěných v&nbsp;brněnských kostelích! Dozvíte se o&nbsp;historii a&nbsp;tradici betlémů v&nbsp;Brně i&nbsp;ve světě. Trasa: centrum města. Prohlídka střídá interiéry a&nbsp;exteriéry. Trasa obsahuje běžné bariéry. Sraz: před katedrálou sv. Petra a&nbsp;Pavla, PetrovDélka trvání programu: 1,5&nbsp;h Průvodce: Martin Koplík Při zakoupení vstupenky na jakoukoli autenTICkou prohlídku či přednášku máte v&nbsp;Infocentru pod krokodýlem (Radnická 8) nebo Infocentru TO JE BRNO (Panenská 1) pohlednici s&nbsp;fotografií Romana France zdarma.""",,,,,,,,,,,,,,38,,,,,,,,,AutenTICké prohlídky 2024: Brněnské betlémy,,,,,
https://www.gotobrno.cz/akce/autenticke-prohlidky-2023-nejvetsi-brnenske-varhany-zblizka/,42,,,,,,"""Během adventní doby náš čeká trojice výjimečných koncertních exkurzí! Adventní putování završíme při třetím setkání poslechem největších brněnských varhan postavených v&nbsp;katedrále sv. Petra a&nbsp;Pavla na Petrově. Program koncertu budou tvořit varhanní skvosty, které si svojí kvalitou právem vybojovaly čestná místa ve varhanní literatuře. Můžeme se těšit na představení katedrálních varhan a&nbsp;jejich barevných možností. Po skončení bude možnost prohlídky kůru Průvodcem nám bude ředitel kůru a&nbsp;varhaník brněnské katedrály, pedagog brněnských uměleckých škol. Sraz: před katedrálou sv. Petra a&nbsp;Pavla, Petrov Doba trvání koncertní prohlídky: 1&nbsp;h Pozn. Prohlídka se odehrává v&nbsp;interiéru. Obsahuje bariéry (schodiště). &nbsp;""",,,,,,,,,,,,,,43,,,,,,,,,AutenTICké prohlídky 2024: Majestát varhan brněnské katedrály,,,,,
