Subject,downloadUrl,encodingFormat,type,má-podmínky-užití,má-vykonavatele-majetkových-práv-autorských-u-autorského-díla
https://blank_Nodes_IRI.org/78,https://www.gotobrno.cz/wp-content/uploads/2024/12/betlemske-svetlo-u-bohunicke-kaplicky-1.jpg
https://blank_Nodes_IRI.org/78,,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1105,https://blank_Nodes_IRI.org/1106
https://blank_Nodes_IRI.org/914,https://www.gotobrno.cz/wp-content/uploads/2024/12/church-7498969_1920.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1111,https://blank_Nodes_IRI.org/1112
https://blank_Nodes_IRI.org/961,https://www.gotobrno.cz/wp-content/uploads/2024/11/b99a4a56-6c8a-40cc-87fa-afd149c10a38-15682-00000b4a998862fa.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1117,https://blank_Nodes_IRI.org/1118
https://blank_Nodes_IRI.org/874,https://www.gotobrno.cz/wp-content/uploads/2024/10/kk-3-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1124,https://blank_Nodes_IRI.org/1125
https://blank_Nodes_IRI.org/110,https://www.gotobrno.cz/wp-content/uploads/2024/12/brno-vanocni.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1130,https://blank_Nodes_IRI.org/1131
https://blank_Nodes_IRI.org/719,https://www.gotobrno.cz/wp-content/uploads/2021/05/tematicke-prohlidky-2020_brno-pred-sto-lety_foto_tic-brno_frantiska-foto-kopie-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1135,https://blank_Nodes_IRI.org/1136
https://blank_Nodes_IRI.org/41,https://www.gotobrno.cz/wp-content/uploads/2023/11/betlem-foto_vojtech-cigl-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1138,https://blank_Nodes_IRI.org/1139
https://blank_Nodes_IRI.org/1046,https://www.gotobrno.cz/wp-content/uploads/2024/12/vr_06723-foto-vr-production-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1144,https://blank_Nodes_IRI.org/1145
https://blank_Nodes_IRI.org/756,https://www.gotobrno.cz/wp-content/uploads/2024/10/471f0b79-f-1024x683-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1150,https://blank_Nodes_IRI.org/1151
https://blank_Nodes_IRI.org/851,https://www.gotobrno.cz/wp-content/uploads/2023/09/taf-orez.png,http://www.iana.org/assignments/media-types/image/png,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1157,https://blank_Nodes_IRI.org/1158
https://blank_Nodes_IRI.org/269,https://www.gotobrno.cz/wp-content/uploads/2017/06/mestske-divadlo-brno.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1165,https://blank_Nodes_IRI.org/1166
https://blank_Nodes_IRI.org/760,https://www.gotobrno.cz/wp-content/uploads/2024/12/e60b6b78-a-1024x683-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1171,https://blank_Nodes_IRI.org/1172
https://blank_Nodes_IRI.org/550,https://www.gotobrno.cz/wp-content/uploads/2024/11/moja-rec-fleda-post.png,http://www.iana.org/assignments/media-types/image/png,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1177,https://blank_Nodes_IRI.org/1178
https://blank_Nodes_IRI.org/319,https://www.gotobrno.cz/wp-content/uploads/2017/07/brno-panorama-zapad-slunce.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1184,https://blank_Nodes_IRI.org/1185
https://blank_Nodes_IRI.org/638,https://www.gotobrno.cz/wp-content/uploads/2023/12/janacek_cabaret_jan_smach-90-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1190,https://blank_Nodes_IRI.org/1191
https://blank_Nodes_IRI.org/783,https://www.gotobrno.cz/wp-content/uploads/2017/07/brno-panorama-zapad-slunce.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1196,https://blank_Nodes_IRI.org/1197
https://blank_Nodes_IRI.org/451,https://www.gotobrno.cz/wp-content/uploads/2021/06/tank-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1202,https://blank_Nodes_IRI.org/1203
https://blank_Nodes_IRI.org/596,https://www.gotobrno.cz/wp-content/uploads/2017/06/michalcikova_surgeon-48-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1204,https://blank_Nodes_IRI.org/1205
https://blank_Nodes_IRI.org/787,https://www.gotobrno.cz/wp-content/uploads/2017/06/sono-5.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1210,https://blank_Nodes_IRI.org/1211
https://blank_Nodes_IRI.org/615,https://www.gotobrno.cz/wp-content/uploads/2024/10/mkt_nk_besedni-dum-2024_1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1216,https://blank_Nodes_IRI.org/1217
https://blank_Nodes_IRI.org/610,https://www.gotobrno.cz/wp-content/uploads/2024/10/mk3-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1222,https://blank_Nodes_IRI.org/1223
https://blank_Nodes_IRI.org/699,https://www.gotobrno.cz/wp-content/uploads/2018/12/janackovo-divadlo.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1229,https://blank_Nodes_IRI.org/1230
https://blank_Nodes_IRI.org/859,https://www.gotobrno.cz/wp-content/uploads/2024/10/3-25-1024x683-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1237,https://blank_Nodes_IRI.org/1238
https://blank_Nodes_IRI.org/677,https://www.gotobrno.cz/wp-content/uploads/2017/06/mestske-divadlo-brno.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1243,https://blank_Nodes_IRI.org/1244
https://blank_Nodes_IRI.org/1041,https://www.gotobrno.cz/wp-content/uploads/2019/03/mahenka.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1249,https://blank_Nodes_IRI.org/1250
