Subject,má-časový-interval,type
803,,Schedule
808,,Schedule
813,,Schedule
818,,Schedule
0,,Schedule
5,,Schedule
847,,Schedule
606,,Schedule
842,,Schedule
601,,Schedule
856,,Schedule
616,,Schedule
852,,Schedule
611,,Schedule
823,,Schedule
828,,Schedule
837,,Schedule
832,,Schedule
648,,Schedule
409,,Schedule
643,,Schedule
885,,Schedule
404,,Schedule
880,,Schedule
419,,Schedule
653,,Schedule
895,,Schedule
414,,Schedule
657,,Schedule
890,,Schedule
626,,Schedule
860,,Schedule
621,,Schedule
865,,Schedule
639,,Schedule
870,,Schedule
630,,Schedule
875,,Schedule
634,,Schedule
200,,Schedule
443,,Schedule
687,,Schedule
447,,Schedule
205,,Schedule
682,,Schedule
452,,Schedule
210,,Schedule
696,,Schedule
457,,Schedule
215,,Schedule
691,,Schedule
669,,Schedule
429,,Schedule
661,,Schedule
665,,Schedule
424,,Schedule
439,,Schedule
673,,Schedule
434,,Schedule
678,,Schedule
486,,Schedule
57,,Schedule
247,,Schedule
481,,Schedule
61,,Schedule
242,,Schedule
499,,Schedule
257,,Schedule
47,,Schedule
490,,Schedule
252,,Schedule
52,,Schedule
495,,Schedule
224,,Schedule
79,,Schedule
467,,Schedule
228,,Schedule
83,,Schedule
462,,Schedule
220,,Schedule
65,,Schedule
233,,Schedule
476,,Schedule
237,,Schedule
70,,Schedule
471,,Schedule
74,,Schedule
19,,Schedule
10,,Schedule
287,,Schedule
15,,Schedule
283,,Schedule
292,,Schedule
296,,Schedule
265,,Schedule
33,,Schedule
37,,Schedule
261,,Schedule
42,,Schedule
29,,Schedule
278,,Schedule
24,,Schedule
270,,Schedule
274,,Schedule
87,,Schedule
92,,Schedule
97,,Schedule
924,,Schedule
929,,Schedule
920,,Schedule
934,,Schedule
938,,Schedule
900,,Schedule
905,,Schedule
915,,Schedule
910,,Schedule
967,,Schedule
728,,Schedule
962,,Schedule
720,,Schedule
977,,Schedule
736,,Schedule
972,,Schedule
732,,Schedule
704,,Schedule
947,,Schedule
708,,Schedule
700,,Schedule
942,,Schedule
957,,Schedule
716,,Schedule
952,,Schedule
712,,Schedule
526,,Schedule
761,,Schedule
522,,Schedule
766,,Schedule
779,,Schedule
771,,Schedule
531,,Schedule
775,,Schedule
536,,Schedule
749,,Schedule
508,,Schedule
982,,Schedule
740,,Schedule
744,,Schedule
503,,Schedule
987,,Schedule
757,,Schedule
518,,Schedule
992,,Schedule
753,,Schedule
996,,Schedule
513,,Schedule
329,,Schedule
320,,Schedule
565,,Schedule
325,,Schedule
560,,Schedule
574,,Schedule
334,,Schedule
579,,Schedule
338,,Schedule
570,,Schedule
541,,Schedule
784,,Schedule
301,,Schedule
546,,Schedule
788,,Schedule
305,,Schedule
793,,Schedule
551,,Schedule
310,,Schedule
798,,Schedule
556,,Schedule
315,,Schedule
1052,,Schedule
366,,Schedule
125,,Schedule
361,,Schedule
120,,Schedule
1047,,Schedule
1042,,Schedule
376,,Schedule
135,,Schedule
371,,Schedule
130,,Schedule
1038,,Schedule
1033,,Schedule
1072,,Schedule
342,,Schedule
102,,Schedule
588,,Schedule
347,,Schedule
106,,Schedule
583,,Schedule
1067,,Schedule
1062,,Schedule
111,,Schedule
597,,Schedule
357,,Schedule
116,,Schedule
593,,Schedule
352,,Schedule
1057,,Schedule
169,,Schedule
160,,Schedule
1009,,Schedule
164,,Schedule
1005,,Schedule
1001,,Schedule
179,,Schedule
174,,Schedule
144,,Schedule
386,,Schedule
148,,Schedule
381,,Schedule
140,,Schedule
1028,,Schedule
1023,,Schedule
156,,Schedule
399,,Schedule
391,,Schedule
152,,Schedule
395,,Schedule
1019,,Schedule
1014,,Schedule
183,,Schedule
187,,Schedule
192,,Schedule
196,,Schedule
1091,,Schedule
1087,,Schedule
1082,,Schedule
1077,,Schedule
