Subject,rest,first
2143,nil,4.91959064E1
2264,nil,4.9195051E1
2142,nil,4.91956227E1
2020,nil,4.919337082758206E1
2141,nil,4.919240258941031E1
2140,nil,4.919101932867574E1
2260,nil,4.9195051E1
2019,nil,4.920204712262365E1
2018,nil,4.919624830000001E1
2139,nil,4.91959064E1
2017,nil,4.9201543E1
2138,nil,4.91921197E1
2016,nil,4.91954382E1
2137,nil,4.9195051E1
2258,nil,4.930335821469581E1
2015,nil,4.91959064E1
2014,nil,4.9201543E1
2256,nil,4.9195224E1
2013,nil,4.91984432E1
2134,nil,4.91982349E1
2012,nil,4.91982349E1
2133,nil,4.919962603373218E1
2254,nil,4.9195051E1
2011,nil,4.91982349E1
2132,nil,4.91959064E1
2010,nil,4.919624830000001E1
2131,nil,4.919189607213494E1
2252,nil,4.92102602778E1
2130,nil,4.91982349E1
2009,nil,4.920956995479473E1
2008,nil,4.921003059999999E1
2129,nil,4.919440236570821E1
2007,nil,4.91943579906536E1
2128,nil,4.91959064E1
2249,nil,4.91956227E1
2006,nil,4.91943579906536E1
2127,nil,4.9195051E1
2126,nil,4.91959064E1
2247,nil,4.919968008387145E1
2004,nil,4.919115925235917E1
2125,nil,4.9195051E1
2003,nil,4.91943579906536E1
2124,nil,4.91956227E1
2245,nil,4.91984432E1
2002,nil,4.921003059999999E1
2123,nil,4.91982801E1
2001,nil,4.91984432E1
2122,nil,4.922815740000001E1
2243,nil,4.919752927811377E1
2165,nil,4.92071645E1
2043,nil,4.91863878738E1
2285,nil,4.9195051E1
2042,nil,4.920405406326666E1
2163,nil,4.920410164688873E1
2041,nil,4.919624830000001E1
2040,nil,4.91959064E1
2161,nil,4.920410164688873E1
2282,nil,4.9195051E1
2160,nil,4.920410164688873E1
2280,nil,4.9195051E1
2039,nil,4.91921197E1
2037,nil,4.9201543E1
2036,nil,4.91982349E1
2157,nil,4.91963376E1
2278,nil,4.91984432E1
2035,nil,4.920405406326666E1
2156,nil,4.9195051E1
2034,nil,4.91956227E1
2155,nil,4.918544885820353E1
2276,nil,4.918516755922142E1
2033,nil,4.91959064E1
2154,nil,4.923507066385147E1
2032,nil,4.920538330078125E1
2153,nil,4.919541926905331E1
2274,nil,4.91921197E1
2031,nil,4.91982349E1
2030,nil,4.922815740000001E1
2151,nil,4.919752927811377E1
2272,nil,4.919962603373218E1
2150,nil,4.919752927811377E1
2270,nil,4.93558163288205E1
2029,nil,4.91982349E1
2028,nil,4.919624830000001E1
2149,nil,4.91982349E1
2027,nil,4.9195051E1
2148,nil,4.920410164688873E1
2026,nil,4.920405406326666E1
2147,nil,4.919101932867574E1
2268,nil,4.91982349E1
2025,nil,4.922749289369727E1
2146,nil,4.9195051E1
2024,nil,4.92020922222E1
2145,nil,4.91961952E1
2266,nil,4.919082521481369E1
2023,nil,4.919880516985283E1
2144,nil,4.9200221E1
2339,nil,4.91938805E1
2217,nil,4.9195051E1
2337,nil,4.91956227E1
2215,nil,4.9195224E1
2335,nil,4.920956995479473E1
2213,nil,4.9191478E1
2333,nil,4.91959064E1
2211,nil,4.91839923E1
2331,nil,4.9201543E1
2209,nil,4.9200221E1
2329,nil,4.919624830000001E1
2207,nil,4.922815740000001E1
2327,nil,4.9195051E1
2205,nil,4.918843423153956E1
2203,nil,4.9195051E1
2323,nil,4.921003059999999E1
2201,nil,4.919440236570821E1
2321,nil,4.921003059999999E1
2000,nil,4.9201543E1
2121,nil,4.919334977786223E1
2120,nil,4.91961952E1
2241,nil,4.919836129999999E1
2118,nil,4.92020922222E1
2239,nil,4.9195051E1
2117,nil,4.91982349E1
2116,nil,4.919630027438166E1
2237,nil,4.91877792451E1
2115,nil,4.91921197E1
2114,nil,4.9195051E1
2235,nil,4.9195051E1
2113,nil,4.920249214937198E1
2112,nil,4.91982349E1
2233,nil,4.919381699387056E1
2111,nil,4.91982349E1
2110,nil,4.920410164688873E1
2231,nil,4.919392132490205E1
2109,nil,4.91959064E1
2108,nil,4.919624830000001E1
2229,nil,4.919289930916234E1
2107,nil,4.91982349E1
2106,nil,4.91961952E1
2227,nil,4.92164173082995E1
2105,nil,4.919624830000001E1
2104,nil,4.92034664492E1
2225,nil,4.9195051E1
2223,nil,4.9195051E1
2101,nil,4.920405406326666E1
2100,nil,4.9195051E1
2221,nil,4.919337082758206E1
2099,nil,4.91956227E1
2098,nil,4.919624830000001E1
2097,nil,4.91959064E1
2095,nil,4.919709990450339E1
2094,nil,4.9195051E1
2093,nil,4.91956227E1
2092,nil,4.91959064E1
2091,nil,4.9195051E1
2090,nil,4.91961952E1
2089,nil,4.920538330078125E1
2319,nil,4.92079732E1
2317,nil,4.91956227E1
2315,nil,4.91984432E1
2313,nil,4.91921197E1
2311,nil,4.9201543E1
2309,nil,4.920128193962741E1
2307,nil,4.91659E1
2305,nil,4.9195051E1
2303,nil,4.920828665051013E1
2301,nil,4.91984432E1
2066,nil,4.919962603373218E1
2187,nil,4.918489201866124E1
2065,nil,4.91956227E1
2064,nil,4.91921197E1
2185,nil,4.918739741434993E1
2062,nil,4.91982349E1
2183,nil,4.919440236570821E1
2061,nil,4.9195051E1
2060,nil,4.9195051E1
2181,nil,4.92020922222E1
2059,nil,4.9201543E1
2058,nil,4.919113751969774E1
2179,nil,4.91918521E1
2299,nil,4.921003059999999E1
2177,nil,4.919674731701949E1
2055,nil,4.919624830000001E1
2297,nil,4.91943579906536E1
2054,nil,4.920052000592386E1
2175,nil,4.918792349999999E1
2053,nil,4.920956995479473E1
2295,nil,4.91956227E1
2052,nil,4.91956227E1
2173,nil,4.9195051E1
2051,nil,4.919927181642814E1
2293,nil,4.920722590572092E1
2050,nil,4.9197547E1
2171,nil,4.918792349999999E1
2291,nil,4.9201543E1
1999,nil,4.9201543E1
1998,nil,4.91984432E1
1997,nil,4.919101932867574E1
1996,nil,4.9195051E1
1995,nil,4.920099732132356E1
1994,nil,4.919101932867574E1
2049,nil,4.919624830000001E1
1993,nil,4.9195051E1
2048,nil,4.91839923E1
2169,nil,4.91948462E1
1992,nil,4.920202106067254E1
2047,nil,4.9201543E1
2289,nil,4.919660707022236E1
1991,nil,4.919101932867574E1
2046,nil,4.919624830000001E1
2167,nil,4.919484612928321E1
1990,nil,4.916722487098903E1
2287,nil,4.919624830000001E1
2088,nil,4.91982349E1
2087,nil,4.91921197E1
2086,nil,4.91982349E1
2085,nil,4.919927181642814E1
2084,nil,4.91920224E1
2083,nil,4.9201543E1
2082,nil,4.920249214937198E1
2081,nil,4.92483681489142E1
2078,nil,4.91982349E1
2199,nil,4.919503921561382E1
2077,nil,4.919624830000001E1
2076,nil,4.920405406326666E1
2197,nil,4.919440236570821E1
2075,nil,4.920405406326666E1
2074,nil,4.925665970000001E1
2195,nil,4.9195051E1
2073,nil,4.919624830000001E1
2072,nil,4.9201543E1
2193,nil,4.9195051E1
2071,nil,4.919624830000001E1
2070,nil,4.922815740000001E1
2191,nil,4.918489201866124E1
2069,nil,4.91959064E1
2068,nil,4.919927181642814E1
2189,nil,4.918489201866124E1
2067,nil,4.920956995479473E1
