Subject,type,coordinates
804,Point,2166
814,Point,1699
819,Point,1978
809,Point,2236
6,Point,2338
1,Point,2200
848,Point,1155
607,Point,1221
843,Point,1958
602,Point,2310
857,Point,1236
617,Point,1361
853,Point,1794
612,Point,1215
824,Point,1387
829,Point,1679
838,Point,2196
833,Point,1267
405,Point,2063
649,Point,2214
881,Point,1441
640,Point,1846
400,Point,1735
644,Point,1534
886,Point,2119
658,Point,2277
410,Point,2186
654,Point,1647
896,Point,1905
415,Point,2208
891,Point,1458
627,Point,2244
861,Point,1594
622,Point,2224
866,Point,2288
871,Point,1123
631,Point,2240
876,Point,2228
635,Point,1189
683,Point,2184
201,Point,2174
444,Point,1932
688,Point,1433
448,Point,1183
206,Point,1319
440,Point,1806
453,Point,1414
211,Point,2286
697,Point,1228
458,Point,1281
216,Point,2182
692,Point,1942
662,Point,1400
420,Point,1788
666,Point,1369
425,Point,1474
430,Point,1315
674,Point,1242
435,Point,1255
679,Point,2294
670,Point,2326
243,Point,2251
487,Point,1482
58,Point,1462
248,Point,1972
482,Point,1666
62,Point,2248
496,Point,1667
43,Point,2253
258,Point,2273
48,Point,1985
491,Point,2005
253,Point,1728
53,Point,2269
229,Point,1813
463,Point,1252
221,Point,1833
225,Point,1747
468,Point,1521
80,Point,1893
84,Point,2198
66,Point,1406
234,Point,2336
477,Point,2188
238,Point,1687
71,Point,1575
472,Point,2162
75,Point,1104
11,Point,1294
288,Point,1381
16,Point,2334
284,Point,2312
20,Point,2212
293,Point,1606
297,Point,1952
266,Point,1162
34,Point,1885
38,Point,1137
262,Point,1866
279,Point,1626
25,Point,1348
271,Point,1632
30,Point,2267
275,Point,2318
98,Point,2168
88,Point,2234
93,Point,1800
925,Point,2306
921,Point,2316
935,Point,2330
939,Point,2332
930,Point,2202
901,Point,1540
906,Point,1515
911,Point,1110
916,Point,2226
968,Point,1860
729,Point,2192
963,Point,1753
721,Point,2304
978,Point,1587
737,Point,2216
973,Point,1420
733,Point,2259
705,Point,2172
948,Point,2275
709,Point,1306
701,Point,2238
943,Point,2265
713,Point,1935
958,Point,1116
717,Point,1122
953,Point,2302
527,Point,1455
762,Point,1581
523,Point,1342
767,Point,2308
537,Point,1600
772,Point,1780
532,Point,1426
776,Point,1773
504,Point,1322
988,Point,1939
509,Point,1593
983,Point,1966
741,Point,2281
500,Point,1639
745,Point,2320
758,Point,1170
519,Point,1612
750,Point,1375
993,Point,1714
754,Point,1149
997,Point,2210
514,Point,1926
321,Point,2296
566,Point,1261
326,Point,1468
561,Point,1527
339,Point,1741
575,Point,1673
335,Point,1873
571,Point,1918
330,Point,1509
306,Point,1554
542,Point,1287
785,Point,1209
302,Point,1839
547,Point,1176
789,Point,2246
780,Point,1195
794,Point,1620
552,Point,2298
311,Point,2170
799,Point,1548
557,Point,2222
316,Point,1182
1053,Point,2204
367,Point,1567
126,Point,1501
362,Point,2263
121,Point,2220
1048,Point,2230
1043,Point,1143
377,Point,1394
136,Point,1872
372,Point,2206
131,Point,2271
1039,Point,1248
1034,Point,2190
1073,Point,1560
584,Point,2290
343,Point,1309
103,Point,1660
589,Point,2292
348,Point,2180
107,Point,1129
580,Point,1767
1068,Point,1693
1063,Point,1706
353,Point,2176
112,Point,2328
598,Point,1899
358,Point,2279
117,Point,2178
594,Point,1201
1058,Point,1328
1010,Point,1388
161,Point,1720
165,Point,2242
1006,Point,1494
1002,Point,1819
170,Point,1449
175,Point,1302
145,Point,1334
387,Point,2255
149,Point,1654
382,Point,2164
141,Point,1734
1029,Point,2322
1024,Point,1275
1020,Point,1354
157,Point,1911
392,Point,1946
153,Point,1807
396,Point,1827
1015,Point,2232
188,Point,1879
180,Point,2314
184,Point,2300
193,Point,1761
197,Point,1854
1092,Point,1488
1088,Point,2284
1083,Point,2257
1078,Point,1528
