Subject,hasEnd,hasBeginning,type
1609,1611,1610,ProperInterval
1969,1971,1970,ProperInterval
1725,1727,1726,ProperInterval
1603,1605,1604,ProperInterval
1843,1845,1844,ProperInterval
1842,1850,1849,ProperInterval
1963,1965,1964,ProperInterval
1717,1719,1718,ProperInterval
1836,1838,1837,ProperInterval
1955,1957,1956,ProperInterval
1830,1832,1831,ProperInterval
2719,2721,2720,ProperInterval
1629,1631,1630,ProperInterval
1869,1871,1870,ProperInterval
1504,1506,1505,ProperInterval
2714,2716,2715,ProperInterval
1623,1625,1624,ProperInterval
1744,1746,1745,ProperInterval
1500,1508,1507,ProperInterval
1863,1865,1864,ProperInterval
1982,1984,1983,ProperInterval
1981,1989,1988,ProperInterval
2709,2711,2710,ProperInterval
1617,1619,1618,ProperInterval
1738,1740,1739,ProperInterval
1857,1859,1858,ProperInterval
2704,2706,2705,ProperInterval
1975,1977,1976,ProperInterval
1731,1733,1732,ProperInterval
1851,1853,1852,ProperInterval
1929,1931,1930,ProperInterval
1803,1805,1804,ProperInterval
1923,1925,1924,ProperInterval
1915,1917,1916,ProperInterval
1912,1922,1921,ProperInterval
1709,1711,1710,ProperInterval
1949,1951,1950,ProperInterval
1705,1713,1712,ProperInterval
1824,1826,1825,ProperInterval
1702,1704,1703,ProperInterval
1943,1945,1944,ProperInterval
1816,1818,1817,ProperInterval
1936,1938,1937,ProperInterval
1810,1812,1811,ProperInterval
1570,1572,1571,ProperInterval
1690,1692,1691,ProperInterval
2417,2419,2418,ProperInterval
2659,2661,2660,ProperInterval
1206,1208,1207,ProperInterval
2536,2538,2537,ProperInterval
1325,1327,1326,ProperInterval
1446,1448,1447,ProperInterval
1566,1574,1573,ProperInterval
2412,2414,2413,ProperInterval
2654,2656,2655,ProperInterval
1563,1565,1564,ProperInterval
2531,2533,2532,ProperInterval
1682,1684,1683,ProperInterval
1318,1321,1320,ProperInterval
2407,2409,2408,ProperInterval
1438,1440,1439,ProperInterval
2526,2528,2527,ProperInterval
2647,2649,2648,ProperInterval
1557,1559,1558,ProperInterval
1676,1678,1677,ProperInterval
1797,1799,1798,ProperInterval
2402,2404,2403,ProperInterval
2644,2651,2650,ProperInterval
1312,1314,1313,ProperInterval
2641,2643,2642,ProperInterval
1430,1432,1431,ProperInterval
1551,1553,1552,ProperInterval
1351,1353,1352,ProperInterval
2440,2442,2441,ProperInterval
1471,1473,1472,ProperInterval
2681,2683,2682,ProperInterval
1590,1592,1591,ProperInterval
1107,1109,1108,ProperInterval
2559,2561,2560,ProperInterval
2437,2444,2443,ProperInterval
1225,1227,1226,ProperInterval
1224,1232,1231,ProperInterval
1345,1347,1346,ProperInterval
2434,2436,2435,ProperInterval
1465,1467,1466,ProperInterval
2554,2556,2555,ProperInterval
1101,1103,1102,ProperInterval
2674,2676,2675,ProperInterval
1584,1586,1585,ProperInterval
2429,2431,2430,ProperInterval
1218,1220,1219,ProperInterval
2549,2551,2550,ProperInterval
1459,1461,1460,ProperInterval
2669,2671,2670,ProperInterval
1337,1339,1338,ProperInterval
1578,1580,1579,ProperInterval
2424,2426,2425,ProperInterval
1212,1214,1213,ProperInterval
1696,1698,1697,ProperInterval
2664,2666,2665,ProperInterval
2542,2544,2543,ProperInterval
1331,1333,1332,ProperInterval
1452,1454,1453,ProperInterval
2541,2548,2547,ProperInterval
2619,2621,2620,ProperInterval
2736,2738,2737,ProperInterval
1888,1890,1889,ProperInterval
2614,2616,2615,ProperInterval
1403,1405,1404,ProperInterval
1524,1526,1525,ProperInterval
1644,1646,1645,ProperInterval
1764,1766,1765,ProperInterval
1882,1884,1883,ProperInterval
2609,2611,2610,ProperInterval
2729,2733,2732,ProperInterval
1518,1520,1519,ProperInterval
