Subject,inXSDDateTimeStamp,type
1849,2024-09-18T02:00:00+02:00,Instant
1605,2025-02-26T01:00:00+01:00,Instant
1604,2025-02-26T01:00:00+01:00,Instant
1845,2025-04-27T02:00:00+02:00,Instant
1844,2025-04-25T02:00:00+02:00,Instant
1838,2025-04-22T02:00:00+02:00,Instant
1837,2025-04-22T02:00:00+02:00,Instant
1832,2025-04-29T02:00:00+02:00,Instant
1831,2025-04-22T02:00:00+02:00,Instant
2716,2024-12-21T01:00:00+01:00,Instant
2715,2024-12-21T01:00:00+01:00,Instant
1625,2025-02-27T01:00:00+01:00,Instant
1624,2025-02-27T01:00:00+01:00,Instant
1865,2025-05-15T02:00:00+02:00,Instant
1864,2025-05-15T02:00:00+02:00,Instant
2711,2024-12-20T01:00:00+01:00,Instant
2710,2024-12-20T01:00:00+01:00,Instant
1619,2025-02-27T01:00:00+01:00,Instant
1618,2025-02-27T01:00:00+01:00,Instant
1859,2025-05-04T02:00:00+02:00,Instant
2706,2024-12-20T01:00:00+01:00,Instant
1858,2025-05-04T02:00:00+02:00,Instant
2705,2024-12-20T01:00:00+01:00,Instant
2703,2050-12-31T01:00:00+01:00,Instant
2702,2021-01-01T01:00:00+01:00,Instant
1611,2025-02-27T01:00:00+01:00,Instant
1853,2025-04-25T02:00:00+02:00,Instant
1610,2025-02-27T01:00:00+01:00,Instant
1852,2025-04-25T02:00:00+02:00,Instant
1850,2024-12-18T01:00:00+01:00,Instant
1805,2025-04-08T02:00:00+02:00,Instant
1804,2025-04-08T02:00:00+02:00,Instant
1826,2025-04-17T02:00:00+02:00,Instant
1825,2025-04-17T02:00:00+02:00,Instant
1818,2025-04-27T02:00:00+02:00,Instant
1817,2025-04-13T02:00:00+02:00,Instant
1812,2025-04-12T02:00:00+02:00,Instant
1811,2025-04-12T02:00:00+02:00,Instant
1692,2025-03-08T01:00:00+01:00,Instant
1691,2025-03-08T01:00:00+01:00,Instant
1208,2024-12-31T01:00:00+01:00,Instant
1207,2024-12-31T01:00:00+01:00,Instant
2538,2024-12-17T01:00:00+01:00,Instant
1448,2025-01-30T01:00:00+01:00,Instant
2537,2024-12-17T01:00:00+01:00,Instant
1447,2025-01-30T01:00:00+01:00,Instant
2533,2024-12-17T01:00:00+01:00,Instant
2532,2024-12-17T01:00:00+01:00,Instant
1200,2024-12-31T01:00:00+01:00,Instant
1684,2025-03-08T01:00:00+01:00,Instant
1683,2025-03-08T01:00:00+01:00,Instant
1440,2025-01-30T01:00:00+01:00,Instant
1439,2025-01-30T01:00:00+01:00,Instant
2528,2024-12-17T01:00:00+01:00,Instant
2527,2024-12-17T01:00:00+01:00,Instant
1437,2025-05-07T02:00:00+02:00,Instant
1436,2024-05-07T02:00:00+02:00,Instant
1678,2025-03-06T01:00:00+01:00,Instant
1677,2025-03-06T01:00:00+01:00,Instant
1432,2025-01-29T01:00:00+01:00,Instant
1431,2025-01-29T01:00:00+01:00,Instant
1672,2025-03-06T01:00:00+01:00,Instant
1671,2025-03-06T01:00:00+01:00,Instant
1472,2025-02-01T01:00:00+01:00,Instant
2561,2024-12-18T01:00:00+01:00,Instant
2560,2024-12-18T01:00:00+01:00,Instant
1227,2025-01-04T01:00:00+01:00,Instant
1226,2025-01-04T01:00:00+01:00,Instant
1467,2025-05-12T02:00:00+02:00,Instant
2556,2024-12-18T01:00:00+01:00,Instant
1466,2025-02-01T01:00:00+01:00,Instant
2555,2024-12-18T01:00:00+01:00,Instant
1220,2025-01-01T01:00:00+01:00,Instant
2551,2024-12-18T01:00:00+01:00,Instant
1461,2025-01-31T01:00:00+01:00,Instant
2550,2024-12-18T01:00:00+01:00,Instant
1460,2025-01-31T01:00:00+01:00,Instant
1219,2025-01-01T01:00:00+01:00,Instant
2548,2050-12-31T01:00:00+01:00,Instant
2547,2021-01-01T01:00:00+01:00,Instant
1214,2025-01-01T01:00:00+01:00,Instant
1698,2025-03-08T01:00:00+01:00,Instant
1213,2025-01-01T01:00:00+01:00,Instant
1697,2025-03-08T01:00:00+01:00,Instant
2544,2024-12-17T01:00:00+01:00,Instant
1454,2025-01-30T01:00:00+01:00,Instant
2543,2024-12-17T01:00:00+01:00,Instant
1453,2025-01-30T01:00:00+01:00,Instant
1890,2025-05-21T02:00:00+02:00,Instant
2738,2024-12-22T01:00:00+01:00,Instant
2737,2024-12-22T01:00:00+01:00,Instant
1405,2025-01-26T01:00:00+01:00,Instant
1889,2025-05-21T02:00:00+02:00,Instant
1404,2025-01-25T01:00:00+01:00,Instant
1646,2025-03-02T01:00:00+01:00,Instant
1645,2025-03-02T01:00:00+01:00,Instant
