Subject,hasEmail,hasURL,druh (cs),druh (en),type
922,,https://www.gotobrno.cz/akce/vanocni-a-beat-mate-radi-hadi/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
805,spilberk@muzeumbrna.cz,https://www.gotobrno.cz/akce/sochy-na-hrade-ii-martin-skalicky/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
926,luciestara@luzanky.cz,https://www.gotobrno.cz/akce/vanocni-jarmark-na-lanech/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
800,,https://www.gotobrno.cz/akce/slavnosti-moravskeho-uzeneho-2025/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
815,info@sportplesbrno.cz,https://www.gotobrno.cz/akce/sportples-brno-2025/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
936,,https://www.gotobrno.cz/akce/vanocni-koncert-javory/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
931,nadace@veronica.cz,https://www.gotobrno.cz/akce/vanocni-jedlicka/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
810,info@pojdrandit.cz,https://www.gotobrno.cz/akce/speed-dating-13/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
902,predprodej@filharmonie-brno.cz,https://www.gotobrno.cz/akce/v-orchestru-jak-sel-cas/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
907,info@brusinkabrno.cz,https://www.gotobrno.cz/akce/valentynsky-networking-kde-se-setkavaji-duse-a-srdce/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
7,,https://www.gotobrno.cz/akce/32-vanoce-na-brnenske-radnici/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
2,spilberk@muzeumbrna.cz,https://www.gotobrno.cz/akce/100-let-tradice-vanocniho-stromu-republiky/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
912,,https://www.gotobrno.cz/akce/vanoce-v-brnenske-katedrale/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
917,,https://www.gotobrno.cz/akce/vanoce-v-zorbas/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
603,predprodej@mdb.cz,https://www.gotobrno.cz/akce/noc-pastyru/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
969,,https://www.gotobrno.cz/akce/varhanici-pro-sv-jakuba-lukas-dvorak/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
849,predprodej@mdb.cz,https://www.gotobrno.cz/akce/the-addams-family/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
608,predprodej@filharmonie-brno.cz,https://www.gotobrno.cz/akce/novorocni-koncert-johann-strauss-ml-200/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
964,,https://www.gotobrno.cz/akce/varhanici-pro-sv-jakuba-ensemble-versus-a-karel-martinek/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
722,pecinkova@ticbrno.cz,https://www.gotobrno.cz/akce/pruvodcovske-sluzby-na-objednavku/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
844,info@globart.cz,https://www.gotobrno.cz/akce/tenkrat-na-zapade-v-cervenem-kostele/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
858,,https://www.gotobrno.cz/akce/the-naked-truth-odhalena-pravda-3/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
979,,https://www.gotobrno.cz/akce/varhanici-pro-sv-jakuba-matus-maracek/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
738,pecinkova@ticbrno.cz,https://www.gotobrno.cz/akce/pruvodcovske-sluzby-zakladni-okruhy-4/,"""TIC, příspěvová organizace města""","""TIC, Brno city-owned company""",VCard
