Subject,downloadUrl,encodingFormat,type,má-podmínky-užití,má-vykonavatele-majetkových-práv-autorských-u-autorského-díla,databáze-chráněná-zvláštními-právy-pořizovatele-databáze,licence-autorského-díla,obsahuje-autorské-dílo,obsahuje-osobní-údaje,obsahuje-více-autorských-děl,originální-databáze,inXSDDateTimeStamp,notation,legalName (cs),má-časový-interval,hasBeginning,hasEnd,coordinates,hasEmail,hasURL,druh (en),druh (cs)
https://blank_Nodes_IRI.org/1108,https://www.gotobrno.cz/wp-content/uploads/2024/10/kk-2-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1300,https://blank_Nodes_IRI.org/1301,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1300,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1293,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2021-01-01T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1301,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/103,,,http://schema.org/Schedule,,,,,,,,,,,,https://blank_Nodes_IRI.org/1302,,,,,,,
https://blank_Nodes_IRI.org/1302,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1303,https://blank_Nodes_IRI.org/1304,,,,,
https://blank_Nodes_IRI.org/1303,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1304,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/104,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1305,,,,
https://blank_Nodes_IRI.org/105,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,mailto:obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/brnenske-povesti/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/106,https://www.gotobrno.cz/wp-content/uploads/2019/03/0lb7643b-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1306,https://blank_Nodes_IRI.org/1307,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1306,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1307,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/1294,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2050-12-31T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1076,,,http://schema.org/Schedule,,,,,,,,,,,,https://blank_Nodes_IRI.org/1308,,,,,,,
https://blank_Nodes_IRI.org/1308,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1309,https://blank_Nodes_IRI.org/1310,,,,,
https://blank_Nodes_IRI.org/1309,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1310,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1077,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1311,,,,
https://blank_Nodes_IRI.org/1078,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,mailto:hanicek.stankova@gmail.com,https://www.gotobrno.cz/akce/vanocni-jarmark-v-kamence-3/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/1080,https://www.gotobrno.cz/wp-content/uploads/2017/07/brno-panorama.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1312,https://blank_Nodes_IRI.org/1313,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1312,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1313,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/859,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1314,,,,
https://blank_Nodes_IRI.org/769,,,http://schema.org/Schedule,,,,,,,,,,,,https://blank_Nodes_IRI.org/1315,,,,,,,
https://blank_Nodes_IRI.org/1315,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1316,https://blank_Nodes_IRI.org/1317,,,,,
https://blank_Nodes_IRI.org/1316,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1317,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/770,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1318,,,,
https://blank_Nodes_IRI.org/771,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,mailto:divadlodip@gmail.com,https://www.gotobrno.cz/akce/pohadka-naslano-divadlo-dip-pro-deti-0-3-roky-2/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/773,https://www.gotobrno.cz/wp-content/uploads/2024/09/img_8307-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1319,https://blank_Nodes_IRI.org/1320,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1319,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1320,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/860,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,mailto:pecinkova@ticbrno.cz,https://www.gotobrno.cz/akce/pruvodcovske-sluzby-zakladni-okruhy/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/15,,,http://schema.org/Schedule,,,,,,,,,,,,https://blank_Nodes_IRI.org/1321,,,,,,,
https://blank_Nodes_IRI.org/1321,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1322,https://blank_Nodes_IRI.org/1323,,,,,
https://blank_Nodes_IRI.org/1322,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1323,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/16,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1324,,,,
https://blank_Nodes_IRI.org/17,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,mailto:info@starezsport.cz,https://www.gotobrno.cz/akce/advent-na-lede/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/19,https://www.gotobrno.cz/wp-content/uploads/2024/11/421969117_872637671529206_4881272237317691634_n.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1325,https://blank_Nodes_IRI.org/1326,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1325,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1326,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/861,https://www.gotobrno.cz/wp-content/uploads/2021/06/fb-01927-e1731941036679.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1327,https://blank_Nodes_IRI.org/1328,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/404,,,http://schema.org/Schedule,,,,,,,,,,,,https://blank_Nodes_IRI.org/1329,,,,,,,
https://blank_Nodes_IRI.org/1329,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1330,https://blank_Nodes_IRI.org/1331,,,,,
https://blank_Nodes_IRI.org/1330,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1331,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/405,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1332,,,,
https://blank_Nodes_IRI.org/406,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,mailto:pr@fleda.cz,https://www.gotobrno.cz/akce/kasparek-v-rohliku-5/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/408,https://www.gotobrno.cz/wp-content/uploads/2024/11/kasparek-v-rohliku-fb-ig.png,http://www.iana.org/assignments/media-types/image/png,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1333,https://blank_Nodes_IRI.org/1334,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1333,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1334,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/1327,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/867,,,http://schema.org/Schedule,,,,,,,,,,,,https://blank_Nodes_IRI.org/1335,,,,,,,
https://blank_Nodes_IRI.org/1335,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1336,https://blank_Nodes_IRI.org/1337,,,,,
https://blank_Nodes_IRI.org/1336,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1337,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/868,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1338,,,,
https://blank_Nodes_IRI.org/869,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,mailto:obchodni@ndbrno.cz,https://www.gotobrno.cz/akce/pujdem-spolu-do-betlema/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/870,https://www.gotobrno.cz/wp-content/uploads/2018/12/janackovo-divadlo.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1339,https://blank_Nodes_IRI.org/1340,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1339,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1340,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/1129,,,http://schema.org/Schedule,,,,,,,,,,,,https://blank_Nodes_IRI.org/1341,,,,,,,
https://blank_Nodes_IRI.org/1328,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/1341,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1342,https://blank_Nodes_IRI.org/1343,,,,,
https://blank_Nodes_IRI.org/1342,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1343,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1130,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1344,,,,
https://blank_Nodes_IRI.org/1131,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,,https://www.gotobrno.cz/akce/varhanici-pro-sv-jakuba-adventni-koncert/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/1133,https://www.gotobrno.cz/wp-content/uploads/2017/06/jakub-interier-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1345,https://blank_Nodes_IRI.org/1346,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1345,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1346,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/299,,,http://schema.org/Schedule,,,,,,,,,,,,https://blank_Nodes_IRI.org/1347,,,,,,,
https://blank_Nodes_IRI.org/524,,,http://schema.org/Schedule,,,,,,,,,,,,https://blank_Nodes_IRI.org/1348,,,,,,,
https://blank_Nodes_IRI.org/1347,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1349,https://blank_Nodes_IRI.org/1350,,,,,
https://blank_Nodes_IRI.org/1349,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1350,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/300,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1351,,,,
https://blank_Nodes_IRI.org/301,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,mailto:predprodej@mdb.cz,https://www.gotobrno.cz/akce/hamlet-aneb-hadala-se-duse-s-telem/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/303,https://www.gotobrno.cz/wp-content/uploads/2023/05/hamletorez.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1352,https://blank_Nodes_IRI.org/1353,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1352,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1353,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/135,,,http://schema.org/Schedule,,,,,,,,,,,,https://blank_Nodes_IRI.org/1354,,,,,,,
https://blank_Nodes_IRI.org/1348,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1355,https://blank_Nodes_IRI.org/1356,,,,,
https://blank_Nodes_IRI.org/1354,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1357,https://blank_Nodes_IRI.org/1358,,,,,
https://blank_Nodes_IRI.org/1357,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/1358,,,http://www.w3.org/2006/time#Instant,,,,,,,,,2024-12-15T01:00:00+01:00,,,,,,,,,,
https://blank_Nodes_IRI.org/136,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1359,,,,
https://blank_Nodes_IRI.org/137,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,mailto:vstupenky@provazek.cz,https://www.gotobrno.cz/akce/cas-srdce/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/138,https://www.gotobrno.cz/wp-content/uploads/2023/11/dscf1090_foto_david_konecny-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1360,https://blank_Nodes_IRI.org/1361,,,,,,,,,,,,,,,,,
