https://blank_Nodes_IRI.org/78,https://www.gotobrno.cz/wp-content/uploads/2024/12/betlemske-svetlo-u-bohunicke-kaplicky-1.jpg
https://blank_Nodes_IRI.org/78,,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1105,https://blank_Nodes_IRI.org/1106
https://blank_Nodes_IRI.org/1105,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false
https://blank_Nodes_IRI.org/1106,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,00101460,Turisticko informační centrum (TIC)
https://blank_Nodes_IRI.org/910,,,http://schema.org/Schedule,,,,,,,,,,,https://blank_Nodes_IRI.org/1107
https://blank_Nodes_IRI.org/1107,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,https://blank_Nodes_IRI.org/1108,https://blank_Nodes_IRI.org/1109
https://blank_Nodes_IRI.org/1108,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-24T01:00:00+01:00
https://blank_Nodes_IRI.org/1109,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2025-01-12T01:00:00+01:00
https://blank_Nodes_IRI.org/1102,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2021-01-01T01:00:00+01:00
https://blank_Nodes_IRI.org/911,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1110
https://blank_Nodes_IRI.org/912,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,https://www.gotobrno.cz/akce/vanoce-v-brnenske-katedrale/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/914,https://www.gotobrno.cz/wp-content/uploads/2024/12/church-7498969_1920.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1111,https://blank_Nodes_IRI.org/1112,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1111,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,
https://blank_Nodes_IRI.org/1112,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/957,,,http://schema.org/Schedule,,,,,,,,,,,https://blank_Nodes_IRI.org/1113,,,,,,,
https://blank_Nodes_IRI.org/1113,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,https://blank_Nodes_IRI.org/1114,https://blank_Nodes_IRI.org/1115,,,,,
https://blank_Nodes_IRI.org/1114,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-24T01:00:00+01:00,,,,
https://blank_Nodes_IRI.org/1115,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-26T01:00:00+01:00,,,,
https://blank_Nodes_IRI.org/1103,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2050-12-31T01:00:00+01:00,,,,
https://blank_Nodes_IRI.org/958,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1116,,,
https://blank_Nodes_IRI.org/959,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,https://www.gotobrno.cz/akce/vanocni-tradice-a-povanocni-hody-v-efi-hostinci-osmec/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/961,https://www.gotobrno.cz/wp-content/uploads/2024/11/b99a4a56-6c8a-40cc-87fa-afd149c10a38-15682-00000b4a998862fa.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1117,https://blank_Nodes_IRI.org/1118,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1117,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,
https://blank_Nodes_IRI.org/1118,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/870,,,http://schema.org/Schedule,,,,,,,,,,,https://blank_Nodes_IRI.org/1119,,,,,,,
https://blank_Nodes_IRI.org/1119,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,https://blank_Nodes_IRI.org/1120,https://blank_Nodes_IRI.org/1121,,,,,
https://blank_Nodes_IRI.org/1120,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-25T01:00:00+01:00,,,,
https://blank_Nodes_IRI.org/1121,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-25T01:00:00+01:00,,,,
https://blank_Nodes_IRI.org/717,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1122,,,
https://blank_Nodes_IRI.org/871,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1123,,,
https://blank_Nodes_IRI.org/872,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,https://www.gotobrno.cz/akce/tradicni-vanocni-koncert-kantileny-2/,"TIC, Brno city-owned company","TIC, příspěvová organizace města"
https://blank_Nodes_IRI.org/874,https://www.gotobrno.cz/wp-content/uploads/2024/10/kk-3-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1124,https://blank_Nodes_IRI.org/1125,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1124,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,
https://blank_Nodes_IRI.org/1125,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,
https://blank_Nodes_IRI.org/106,,,http://schema.org/Schedule,,,,,,,,,,,https://blank_Nodes_IRI.org/1126,,,,,,,
https://blank_Nodes_IRI.org/1126,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,https://blank_Nodes_IRI.org/1127,https://blank_Nodes_IRI.org/1128,,,,,
https://blank_Nodes_IRI.org/1127,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-26T01:00:00+01:00,,,,
https://blank_Nodes_IRI.org/1128,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-26T01:00:00+01:00,,,,
https://blank_Nodes_IRI.org/718,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,https://www.gotobrno.cz/akce/pruvodcovske-sluzby-autenticke-prohlidky/,"TIC, Brno city-owned company","TIC, příspěvová organizace města",mailto:uricarova@ticbrno.cz
https://blank_Nodes_IRI.org/107,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1129,,,,
https://blank_Nodes_IRI.org/108,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,https://www.gotobrno.cz/akce/brno-vanocni-aneb-patrani-po-jeziskovi-2/,"TIC, Brno city-owned company","TIC, příspěvová organizace města",mailto:tomas.kryl@email.cz
https://blank_Nodes_IRI.org/110,https://www.gotobrno.cz/wp-content/uploads/2024/12/brno-vanocni.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1130,https://blank_Nodes_IRI.org/1131,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1130,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1131,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,,
https://blank_Nodes_IRI.org/37,,,http://schema.org/Schedule,,,,,,,,,,,https://blank_Nodes_IRI.org/1132,,,,,,,,
https://blank_Nodes_IRI.org/1132,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,https://blank_Nodes_IRI.org/1133,https://blank_Nodes_IRI.org/1134,,,,,,
https://blank_Nodes_IRI.org/1133,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-27T01:00:00+01:00,,,,,
https://blank_Nodes_IRI.org/1134,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-27T01:00:00+01:00,,,,,
https://blank_Nodes_IRI.org/719,https://www.gotobrno.cz/wp-content/uploads/2021/05/tematicke-prohlidky-2020_brno-pred-sto-lety_foto_tic-brno_frantiska-foto-kopie-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1135,https://blank_Nodes_IRI.org/1136,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/38,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1137,,,,
https://blank_Nodes_IRI.org/39,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,https://www.gotobrno.cz/akce/autenticke-prohlidky-2023-brnenske-betlemy/,"TIC, Brno city-owned company","TIC, příspěvová organizace města",mailto:panenska@ticbrno.cz
https://blank_Nodes_IRI.org/41,https://www.gotobrno.cz/wp-content/uploads/2023/11/betlem-foto_vojtech-cigl-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1138,https://blank_Nodes_IRI.org/1139,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1138,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1139,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,,
https://blank_Nodes_IRI.org/1042,,,http://schema.org/Schedule,,,,,,,,,,,https://blank_Nodes_IRI.org/1140,,,,,,,,
https://blank_Nodes_IRI.org/1140,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,https://blank_Nodes_IRI.org/1141,https://blank_Nodes_IRI.org/1142,,,,,,
https://blank_Nodes_IRI.org/1141,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-27T01:00:00+01:00,,,,,
https://blank_Nodes_IRI.org/1142,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-27T01:00:00+01:00,,,,,
https://blank_Nodes_IRI.org/1135,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1043,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1143,,,,
https://blank_Nodes_IRI.org/1044,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,https://www.gotobrno.cz/akce/vus-ondras-cesta-svetla-derniera/,"TIC, Brno city-owned company","TIC, příspěvová organizace města",
https://blank_Nodes_IRI.org/1046,https://www.gotobrno.cz/wp-content/uploads/2024/12/vr_06723-foto-vr-production-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1144,https://blank_Nodes_IRI.org/1145,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1144,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1145,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,,
https://blank_Nodes_IRI.org/753,,,http://schema.org/Schedule,,,,,,,,,,,https://blank_Nodes_IRI.org/1146,,,,,,,,
https://blank_Nodes_IRI.org/1146,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,https://blank_Nodes_IRI.org/1147,https://blank_Nodes_IRI.org/1148,,,,,,
https://blank_Nodes_IRI.org/1147,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-27T01:00:00+01:00,,,,,
https://blank_Nodes_IRI.org/1148,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-27T01:00:00+01:00,,,,,
https://blank_Nodes_IRI.org/1136,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,,
https://blank_Nodes_IRI.org/754,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1149,,,,
https://blank_Nodes_IRI.org/755,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,https://www.gotobrno.cz/akce/rebelky-5/,"TIC, Brno city-owned company","TIC, příspěvová organizace města",
https://blank_Nodes_IRI.org/756,https://www.gotobrno.cz/wp-content/uploads/2024/10/471f0b79-f-1024x683-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1150,https://blank_Nodes_IRI.org/1151,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1150,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1151,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,,
https://blank_Nodes_IRI.org/847,,,http://schema.org/Schedule,,,,,,,,,,,https://blank_Nodes_IRI.org/1152,,,,,,,,
https://blank_Nodes_IRI.org/1152,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,https://blank_Nodes_IRI.org/1153,https://blank_Nodes_IRI.org/1154,,,,,,
https://blank_Nodes_IRI.org/1153,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-27T01:00:00+01:00,,,,,
https://blank_Nodes_IRI.org/1154,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-27T01:00:00+01:00,,,,,
https://blank_Nodes_IRI.org/848,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1155,,,,
https://blank_Nodes_IRI.org/447,,,http://schema.org/Schedule,,,,,,,,,,,https://blank_Nodes_IRI.org/1156,,,,,,,,
https://blank_Nodes_IRI.org/849,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,https://www.gotobrno.cz/akce/the-addams-family/,"TIC, Brno city-owned company","TIC, příspěvová organizace města",mailto:predprodej@mdb.cz
https://blank_Nodes_IRI.org/851,https://www.gotobrno.cz/wp-content/uploads/2023/09/taf-orez.png,http://www.iana.org/assignments/media-types/image/png,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1157,https://blank_Nodes_IRI.org/1158,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1157,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1158,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,,
https://blank_Nodes_IRI.org/265,,,http://schema.org/Schedule,,,,,,,,,,,https://blank_Nodes_IRI.org/1159,,,,,,,,
https://blank_Nodes_IRI.org/1159,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,https://blank_Nodes_IRI.org/1160,https://blank_Nodes_IRI.org/1161,,,,,,
https://blank_Nodes_IRI.org/1160,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-27T01:00:00+01:00,,,,,
https://blank_Nodes_IRI.org/1161,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-27T01:00:00+01:00,,,,,
https://blank_Nodes_IRI.org/266,,,https://purl.org/geojson/vocab#Point,,,,,,,,,,,,,,,https://blank_Nodes_IRI.org/1162,,,,
https://blank_Nodes_IRI.org/1156,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,https://blank_Nodes_IRI.org/1163,https://blank_Nodes_IRI.org/1164,,,,,,
https://blank_Nodes_IRI.org/267,,,http://www.w3.org/2006/vcard/ns#VCard,,,,,,,,,,,,,,,,https://www.gotobrno.cz/akce/hra-ktera-se-zvrtla/,"TIC, Brno city-owned company","TIC, příspěvová organizace města",mailto:predprodej@mdb.cz
https://blank_Nodes_IRI.org/269,https://www.gotobrno.cz/wp-content/uploads/2017/06/mestske-divadlo-brno.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1165,https://blank_Nodes_IRI.org/1166,,,,,,,,,,,,,,,,,
https://blank_Nodes_IRI.org/1165,,,https://slovník.gov.cz/generický/podmínky-užití/pojem/podmínky-užití,,,false,https://creativecommons.org/licenses/by/4.0/,true,false,false,false,,,,,,,,,,,
https://blank_Nodes_IRI.org/1166,,,http://www.w3.org/ns/regorg#RegisteredOrganization,,,,,,,,,00101460,Turisticko informační centrum (TIC),,,,,,,,,
https://blank_Nodes_IRI.org/757,,,http://schema.org/Schedule,,,,,,,,,,,https://blank_Nodes_IRI.org/1167,,,,,,,,
https://blank_Nodes_IRI.org/1167,,,http://www.w3.org/2006/time#ProperInterval,,,,,,,,,,,,https://blank_Nodes_IRI.org/1168,https://blank_Nodes_IRI.org/1169,,,,,,
https://blank_Nodes_IRI.org/1168,,,http://www.w3.org/2006/time#Instant,,,,,,,,,,,,,,2024-12-27T01:00:00+01:00,,,,,
