duration (ms);size of RDF file (MB);conversion method;tables;first normal form;number of created CSVs;name of the original RDF file;date_time;time in parsing; time in converting; time in metadata; time in file write; time in zipping;;;#HODNOTA!;
186659;0.0;basicQuery;one;false;1;posudky_streaming_n_t2LangFix.nt;;;;;;;;;#DIV/0!;
220130;0.0;basicQuery;one;false;1;posudky_streaming_n_t2LangFix.nt;;;;;;;;;#DIV/0!;
192728;null;basicQuery;one;false;1;posudky_rdf4j.nt;;;;;;;;;#DIV/0!;
209313;null;basicQuery;one;false;1;posudky_rdf4j.nt;;;;;;;;;#DIV/0!;
226728;19.178656578063965;basicQuery;one;false;1;posudky_rdf4j.nt;;;;;;;;;#DIV/0!;
377;null;streaming;one;true;1;events_Brno_streaming_n_consolidatedMetadata.nt;;;;;;;;;#DIV/0!;
1886882;null;streaming;one;true;1;events_Brno_streaming_n_consolidatedMetadata2.nt;;;;;;;;;#DIV/0!;
1935414;null;streaming;more;true;3;events_Brno_streaming_n_t_consolidatedMetadata2.nt;;;;;;;;;#DIV/0!;
1924717;null;streaming;more;false;3;events_Brno_streaming_t_consolidatedMetadata2.nt;;;;;;;;;#DIV/0!;
21253;null;splitQuery;more;false;1;test005.ttl;;;;;;;;;#DIV/0!;
21227;null;basicQuery;one;false;1;test005.ttl;;;;;;;;;#DIV/0!;
21461;null;splitQuery;more;false;1;test005.ttl;;;;;;;;;#DIV/0!;
20894;null;basicQuery;one;true;1;streamingSample02.nt;;;;;;;;;#DIV/0!;
20912;null;basicQuery;one;true;1;streamingSample02.nt;;;;;;;;;#DIV/0!;
26312;null;basicQuery;one;true;1;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25329;null;basicQuery;one;true;1;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25942;null;basicQuery;one;true;1;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
26284;null;splitQuery;more;false;2;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25901;null;splitQuery;more;false;2;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25978;null;splitQuery;more;false;2;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
26012;null;splitQuery;more;false;2;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
26091;null;splitQuery;more;false;2;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25485;null;splitQuery;more;false;2;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
10965;null;streaming;more;false;1;TestResultFomMain.nt;;;;;;;;;#DIV/0!;
26524;null;splitQuery;more;false;2;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25463;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25624;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25321;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25451;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25607;null;splitQuery;more;false;2;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25555;null;splitQuery;more;false;2;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25200;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;;#DIV/0!;
25216;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;0;#DIV/0!;
25767;null;splitQuery;more;false;2;typy-pracovních-vztahů34a.ttl;;;;;;;;0;#DIV/0!;
25147;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;0;#DIV/0!;
25200;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;0;#DIV/0!;
25316;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;0;#DIV/0!;
25272;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;0;#DIV/0!;
25621;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;0;#DIV/0!;
25458;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;0;#DIV/0!;
25338;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;0;#DIV/0!;
25230;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;0;#DIV/0!;
25257;null;basicQuery;one;false;1;typy-pracovních-vztahů34a.ttl;;;;;;;;0;#DIV/0!;
25655;null;splitQuery;more;false;2;typy-pracovních-vztahůRDF4jSplitQuery.ttl;;;;;;;;0;#DIV/0!;
27076;null;splitQuery;more;false;2;typy-pracovních-vztahůRDF4jBasicQuery2.ttl;;;;;;;;0;#DIV/0!;
26907;null;splitQuery;more;false;2;typy-pracovních-vztahůRDF4jBasicQuery2.ttl;;;;;;;;0;#DIV/0!;
33645;0.0042438507080078125;basicQuery;one;true;1;idOutuput.ttl;;;;;;;;0;#DIV/0!;
514;null;streaming;one;false;1;streamingSample02.nt;;;;;;;;0;#DIV/0!;
44;null;streaming;one;false;1;streamingSample02.nt;;;;;;;;0;#DIV/0!;
33;null;streaming;one;false;1;streamingSample02.nt;;;;;;;;0;#DIV/0!;
36;null;streaming;one;false;1;streamingSample02.nt;;;;;;;;0;#DIV/0!;
48;null;streaming;one;false;1;streamingSample02.nt;;;;;;;;0;#DIV/0!;
43;null;streaming;one;false;1;streamingSample02.nt;;;;;;;;0;#DIV/0!;
11622;null;streaming;more;false;1;testingInput.nt;;;;;;;;0;#DIV/0!;
12185;null;streaming;more;false;1;testingInput.nt;;;;;;;;0;#DIV/0!;
11685;null;streaming;more;false;1;testingInput.nt;;;;;;;;0;#DIV/0!;
11574;null;streaming;more;false;1;testingInput.nt;;;;;;;;0;#DIV/0!;
12099;null;streaming;more;false;1;testingInput.nt;;;;;;;;0;#DIV/0!;
11258;null;streaming;more;false;1;testingInput.nt;;;;;;;;0;#DIV/0!;
47;null;streaming;one;false;1;streamingSample02.nt;;;;;;;;0;#DIV/0!;
10379;null;streaming;more;false;1;testingInput.nt;;;;;;;;0;#DIV/0!;
11538;null;streaming;more;false;1;testingInput.nt;;;;;;;;0;#DIV/0!;
34587;0.0042438507080078125;basicQuery;one;true;1;idOutuput.ttl;;;;;;;;0;#DIV/0!;
34184;0.0042438507080078125;basicQuery;one;true;1;idOutuput.ttl;20250102_221054;;;;;;;0;#DIV/0!;
31298;0.0042438507080078125;splitQuery;more;true;2;idOutuput.ttl;20250102_221432;;;;;;;0;#DIV/0!;
31021;0.0042438507080078125;splitQuery;more;true;2;idOutuput.ttl;20250103_124525;;;;;;;0;#DIV/0!;
30713;0.0042438507080078125;splitQuery;more;false;2;idOutuput.ttl;20250103_131549;;;;;;;0;#DIV/0!;
33693;0.0042438507080078125;splitQuery;more;false;2;idOutuput.ttl;20250103_132850;;;;;;;0;#DIV/0!;
31944;0.0042438507080078125;splitQuery;more;false;2;idOutuput.ttl;20250103_164104;;;;;;;0;#DIV/0!;
31648;0.0042438507080078125;splitQuery;more;false;2;idOutuput.ttl;20250103_165357;1605;1074;8274;20680;15;;31648;0,653437816;
31216;0.0042438507080078125;splitQuery;more;true;2;idOutuput.ttl;20250103_165511;1032;1195;8256;20719;14;;31216;0,663730138;
34531;0.0042438507080078125;basicQuery;one;true;1;idOutuput.ttl;20250103_170017;2023;3837;7916;20727;28;;34531;0,60024326;
30936;null;splitQuery;more;true;2;nace-cz-r-n1-t1.trig;20250103_173518;;;;;;;0;#DIV/0!;
30427;null;splitQuery;more;true;2;nace-cz-r-n1-t1.trig;20250103_175432;;;;;;;0;#DIV/0!;
30547;null;splitQuery;more;true;2;nace-cz-r-n1-t1.trig;20250103_175707;;;;;;;0;#DIV/0!;
30542;null;splitQuery;more;true;2;nace-cz-r-n1-t1.trig;20250103_175906;;;;;;;0;#DIV/0!;
32313;null;splitQuery;more;true;2;nace-cz-r-n1-t1.trig;20250103_180258;;;;;;;0;#DIV/0!;
30307;null;splitQuery;more;true;2;nace-cz-r-n1-t1.trig;20250103_194137;;;;;;;0;#DIV/0!;
31574;null;splitQuery;more;false;2;nace-cz-r-n0-t1.trig;20250103_194509;;;;;;;0;#DIV/0!;
29883;null;splitQuery;more;false;2;nace-cz-r-n0-t1.trig;20250103_195120;;;;;;;0;#DIV/0!;
30251;null;splitQuery;more;false;2;nace-cz-r-n0-t1.trig;20250103_195713;;;;;;;0;#DIV/0!;
30376;null;splitQuery;more;false;2;nace-cz-r-n0-t1.trig;20250103_195933;;;;;;;0;#DIV/0!;
30154;null;splitQuery;more;false;2;nace-cz-r-n0-t1.trig;20250103_201053;;;;;;;0;#DIV/0!;
30455;null;splitQuery;more;false;2;nace-cz-r-n0-t1.trig;20250103_202940;;;;;;;0;#DIV/0!;
30613;null;splitQuery;more;false;2;nace-cz-r-n0-t1.trig;20250103_203507;;;;;;;0;#DIV/0!;
31077;null;splitQuery;more;true;2;nace-cz-r-n1-t1.trig;20250103_203713;;;;;;;0;#DIV/0!;
34657;null;basicQuery;one;false;1;nace-cz-r-n1-t1.trig;20250103_215621;;;;;;;0;#DIV/0!;
35740;null;basicQuery;one;false;1;nace-cz-r-n0-t0.trig;20250103_221040;;;;;;;0;#DIV/0!;
36424;null;basicQuery;one;true;1;nace-cz-r-n1-t0.trig;20250103_221551;;;;;;;0;#DIV/0!;
30664;null;splitQuery;more;true;2;nace-cz-r-n1-t1.trig;20250103_222927;;;;;;;0;#DIV/0!;
29810;null;splitQuery;more;false;2;nace-cz-r-n0-t1.trig;20250103_224737;;;;;;;0;#DIV/0!;
30049;0.2907228469848633;splitQuery;more;false;2;nace-cz-r-n0-t1.trig;20250103_225257;464;778;8348;20447;12;;30049;0,680455256;
30911;0.2907228469848633;splitQuery;more;true;2;nace-cz-r-n1-t1.trig;20250103_225352;483;785;8453;21173;17;;30911;0,684966517;
35785;0.2907228469848633;basicQuery;one;true;1;nace-cz-r-n1-t0.trig;20250103_225520;457;8211;6005;21093;19;;35785;0,589436915;
35400;0.2907228469848633;basicQuery;one;false;1;nace-cz-r-n0-t0.trig;20250103_230428;494;8275;6161;20459;11;;35400;0,577937853;
23273;0.0023136138916015625;basicQuery;one;false;1;vhodnosti-pro-typ-zamestnance-r-n0-t0.ttl;20250103_232514;332;212;2652;20046;31;;23273;0,861341469;
23403;0.0023136138916015625;splitQuery;more;false;2;vhodnosti-pro-typ-zamestnance-r-n0-t1.ttl;20250103_232605;269;285;2806;20037;6;;23403;0,856172286;
23041;0.0023136138916015625;basicQuery;one;true;1;vhodnosti-pro-typ-zamestnance-r-n1-t0.ttl;20250103_232725;267;202;2516;20044;12;;23041;0,869927521;
23573;0.0023136138916015625;splitQuery;more;true;2;vhodnosti-pro-typ-zamestnance-r-n1-t1.ttl;20250103_233713;306;329;2887;20039;12;;23573;0,850082722;
23385;0.0023136138916015625;splitQuery;more;true;2;vhodnosti-pro-typ-zamestnance-r-n1-t1.ttl;20250103_235753;262;285;2798;20032;8;;23385;0,85661749;
23162;0.0023136138916015625;basicQuery;one;true;1;vhodnosti-pro-typ-zamestnance-r-n1-t0.ttl;20250104_001901;272;203;2646;20036;5;;23162;0,865037562;
