Subject,predicate11,predicate13,predicate19,predicate16,predicate12,predicate15,predicate1,predicate18,predicate4,predicate9,predicate7,predicate8,predicate21,predicate17,predicate5,predicate6,predicate2,predicate10,predicate14,predicate20,predicate3,predicate22
http://example.org/resource/subject77662,http://example.org/resource/object80926,,,,,,,,,,,,,,,,,,,,http://example.org/resource/object10101,
http://example.org/resource/subject71956,http://example.org/resource/object86915,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject88820,http://example.org/resource/object36361,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject76494,http://example.org/resource/object85462,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject51514,http://example.org/resource/object11940,http://example.org/resource/object43588,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject93358,http://example.org/resource/object62696,,http://example.org/resource/object14155,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject97093,http://example.org/resource/object39731,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject75084,,,http://example.org/resource/object79823,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject61501,http://example.org/resource/object52922,http://example.org/resource/object11972,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject81906,,,http://example.org/resource/object22489,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject61311,http://example.org/resource/object69087,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject45605,,,http://example.org/resource/object44701,,,http://example.org/resource/object68448,,,,,,,,,,,,,,,,
http://example.org/resource/subject72113,,http://example.org/resource/object36467,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject53544,http://example.org/resource/object77335,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject27040,,,http://example.org/resource/object39241,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject46161,,,http://example.org/resource/object31682,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject31054,http://example.org/resource/object15544,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject69607,,http://example.org/resource/object83950,,http://example.org/resource/object87194,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject25697,,http://example.org/resource/object25645,,http://example.org/resource/object31741,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject50518,,,,http://example.org/resource/object86690,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject74278,,,,http://example.org/resource/object35375,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject7279,http://example.org/resource/object41008,,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject63629,,,http://example.org/resource/object95275,,,,,,,,,,,,,http://example.org/resource/object80890,,,,,,
http://example.org/resource/subject61251,,,http://example.org/resource/object62630,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject79729,,,,http://example.org/resource/object5533,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject79539,,,,http://example.org/resource/object84541,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject34173,,,http://example.org/resource/object96254,,,,http://example.org/resource/object55489,,,,,,,,,,http://example.org/resource/object88027,,,,,
http://example.org/resource/subject54768,,http://example.org/resource/object88208,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject81276,http://example.org/resource/object19731,http://example.org/resource/object24753,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject90689,,http://example.org/resource/object92300,,,,,http://example.org/resource/object86732,,,,,,,,,,,,,,,
http://example.org/resource/subject28834,,http://example.org/resource/object74117,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject13258,,http://example.org/resource/object94623,,,,,,,,,,,,,,,,,,,,
