Subject,predicate4,predicate14,predicate12,predicate13,predicate16,predicate3,predicate2,predicate1
http://example.org/resource/subject29492,http://example.org/resource/object94581,,,,,,,
http://example.org/resource/subject96157,http://example.org/resource/object74295,,,,,,,
http://example.org/resource/subject8882,http://example.org/resource/object61244,,,,,,,
http://example.org/resource/subject43747,http://example.org/resource/object90751,,,http://example.org/resource/object54288,,,,
http://example.org/resource/subject90002,http://example.org/resource/object90160,,,,,,,
http://example.org/resource/subject65524,http://example.org/resource/object25914,,,,,,,
http://example.org/resource/subject13865,http://example.org/resource/object74368,,,,,,,
http://example.org/resource/subject49337,http://example.org/resource/object35970,,,,,,,
http://example.org/resource/subject84038,http://example.org/resource/object19876,,,,,,,
http://example.org/resource/subject47112,http://example.org/resource/object23466,,,,,,,
http://example.org/resource/subject24339,http://example.org/resource/object16512,,,,,http://example.org/resource/object5800,,
http://example.org/resource/subject38251,http://example.org/resource/object35779,,,,,,,
http://example.org/resource/subject47627,http://example.org/resource/object17891,,,,,,,
http://example.org/resource/subject64885,http://example.org/resource/object37219,,,,,,,
http://example.org/resource/subject1962,http://example.org/resource/object45200,,,http://example.org/resource/object8170,,,http://example.org/resource/object96270,
http://example.org/resource/subject88626,http://example.org/resource/object89524,,,,,,,
http://example.org/resource/subject59360,http://example.org/resource/object99293,http://example.org/resource/object19129,http://example.org/resource/object21683,,,,,
http://example.org/resource/subject66706,http://example.org/resource/object87831,,,,,,,
http://example.org/resource/subject19033,http://example.org/resource/object39767,,,,,,,
http://example.org/resource/subject80618,http://example.org/resource/object70268,,http://example.org/resource/object1779,,,,,http://example.org/resource/object40922
http://example.org/resource/subject41708,http://example.org/resource/object93106,,,,http://example.org/resource/object2626,,,
