Subject,predicate6,predicate21,predicate4,predicate10,predicate16
http://example.org/resource/subject51171,http://example.org/resource/object27468,http://example.org/resource/object43956,,,
http://example.org/resource/subject45642,http://example.org/resource/object62835,,http://example.org/resource/object45135,,
http://example.org/resource/subject36078,http://example.org/resource/object42195,,,,
http://example.org/resource/subject74940,http://example.org/resource/object93822,,,,
http://example.org/resource/subject44131,http://example.org/resource/object66633,,,,
http://example.org/resource/subject7904,http://example.org/resource/object51096,,,,http://example.org/resource/object60744
http://example.org/resource/subject84700,http://example.org/resource/object64132,,,,
http://example.org/resource/subject21999,http://example.org/resource/object89058,,http://example.org/resource/object57032,,
http://example.org/resource/subject46314,http://example.org/resource/object12666,,,http://example.org/resource/object50339,
http://example.org/resource/subject95193,http://example.org/resource/object26504,,,,
http://example.org/resource/subject1837,http://example.org/resource/object2762,,,,
http://example.org/resource/subject45582,http://example.org/resource/object53562,,,,
http://example.org/resource/subject65144,http://example.org/resource/object96089,,,,
