Subject,predicate22,predicate9,predicate1,predicate2,predicate18,predicate21,predicate4,predicate17,predicate16,predicate11,predicate19,predicate3,predicate12,predicate13,predicate14,predicate6
http://example.org/resource/subject9976,http://example.org/resource/object47224,,,,,,,,,,,,,,,
http://example.org/resource/subject69079,http://example.org/resource/object21097,,,,,,,,,,,,,,,
http://example.org/resource/subject9596,http://example.org/resource/object32201,,,,,,,,,,http://example.org/resource/object3138,,,,,
http://example.org/resource/subject18101,http://example.org/resource/object72165,,,,,,,,,,,,,,,
http://example.org/resource/subject40623,http://example.org/resource/object30597,http://example.org/resource/object21061,,,,,,,,,,,,,,
http://example.org/resource/subject57817,http://example.org/resource/object21771,,,,,,,,,,,,,,,
http://example.org/resource/subject91703,,http://example.org/resource/object90367,,,,,,,,,,,,,,
http://example.org/resource/subject36073,,http://example.org/resource/object27283,,,,,,,,,,,,,,
http://example.org/resource/subject85396,http://example.org/resource/object17932,,,,,,,,,,,,,,,
http://example.org/resource/subject36226,,http://example.org/resource/object8871,,,,,,,,,,,,,,
http://example.org/resource/subject78482,,http://example.org/resource/object74884,,,,,,,,,,,,,,
http://example.org/resource/subject6565,http://example.org/resource/object11552,,,,,,,,,,,,,,,
http://example.org/resource/subject60677,http://example.org/resource/object89230,,,,,,,,,,,,,,,
http://example.org/resource/subject9689,http://example.org/resource/object48321,,,,,,,,,,,,,,,
http://example.org/resource/subject20121,,http://example.org/resource/object15897,,,,,,,,,,,,,,
http://example.org/resource/subject19700,http://example.org/resource/object51863,,,,,,,,,,,,,,,
http://example.org/resource/subject29168,http://example.org/resource/object93932,,,,,,,,,,,,,,,
http://example.org/resource/subject20066,http://example.org/resource/object26133,,,,,,,,,,,,,,,
http://example.org/resource/subject13823,,http://example.org/resource/object32823,,,,,,,,,,,,,,
http://example.org/resource/subject84413,http://example.org/resource/object75037,,,,,,,,,,,,,,,
http://example.org/resource/subject51602,http://example.org/resource/object14028,,,,,,,,,,,,,,,
http://example.org/resource/subject15301,,http://example.org/resource/object19673,http://example.org/resource/object69925,,,,,,,,,,,,,
http://example.org/resource/subject64750,http://example.org/resource/object2822,,,,,,,,,,,,,,,
http://example.org/resource/subject929,,http://example.org/resource/object7723,,,,,,,,,,,,,,"http://example.org/resource/object12924,http://example.org/resource/object5760"
http://example.org/resource/subject77449,http://example.org/resource/object84491,,,http://example.org/resource/object48853,,,,,,,,,,,,
http://example.org/resource/subject19418,http://example.org/resource/object47913,,,,http://example.org/resource/object96887,,,,,,,,,,,
http://example.org/resource/subject28032,http://example.org/resource/object22769,,,,,,,,,,,,,,,
http://example.org/resource/subject17693,http://example.org/resource/object79200,,,,,,,,,,,,,,,
http://example.org/resource/subject65047,,,,,http://example.org/resource/object55078,,,,,,,,,,,
http://example.org/resource/subject41420,http://example.org/resource/object65200,,,,,,http://example.org/resource/object3952,,,,,http://example.org/resource/object55311,http://example.org/resource/object96399,,,
http://example.org/resource/subject7422,,http://example.org/resource/object75600,,,,,,,,,,,,,,
http://example.org/resource/subject85122,http://example.org/resource/object9644,,,,,,,,,,,,,,,
http://example.org/resource/subject34836,,http://example.org/resource/object54571,,,,,,,,,,,,,,
http://example.org/resource/subject96013,,http://example.org/resource/object35752,,,,,,,,http://example.org/resource/object86210,,,,,,
http://example.org/resource/subject82703,http://example.org/resource/object18249,,,,,,,,,,,,,,,
http://example.org/resource/subject29121,http://example.org/resource/object61236,,,,,,,,,,,,,,,
http://example.org/resource/subject79664,http://example.org/resource/object41594,,,,,,,,,,,,,,,
http://example.org/resource/subject65232,http://example.org/resource/object80809,,,,,,,,,,,,,http://example.org/resource/object4384,,
http://example.org/resource/subject24084,http://example.org/resource/object82810,,,,,,,,,,,,,,,
http://example.org/resource/subject90225,http://example.org/resource/object60494,,,,,,,,,,,,,,,
http://example.org/resource/subject54476,,http://example.org/resource/object73609,,http://example.org/resource/object62414,,,,,,,,,,,,
http://example.org/resource/subject96143,http://example.org/resource/object36715,,,,,http://example.org/resource/object43379,,,,,,,,,,
http://example.org/resource/subject64616,http://example.org/resource/object17097,,,,,,,,,,,,,,,
http://example.org/resource/subject31615,http://example.org/resource/object66852,,,,,,,,,,,,,,,
http://example.org/resource/subject15149,http://example.org/resource/object28632,,,,,,,,,,,,,,,
http://example.org/resource/subject17007,http://example.org/resource/object21430,,,,,,,,,,,,,,,
http://example.org/resource/subject257,http://example.org/resource/object89052,,,,,http://example.org/resource/object4701,,,,,,,,,,
http://example.org/resource/subject76406,http://example.org/resource/object34417,,,,,,,,,,,,,,http://example.org/resource/object26878,
