Subject,predicate7,predicate13,predicate21,predicate12,predicate19,predicate4,predicate9,predicate3,predicate5
http://example.org/resource/subject22406,http://example.org/resource/object48151,,,,,,,,
http://example.org/resource/subject78542,http://example.org/resource/object16450,,,,,,,,
http://example.org/resource/subject51704,http://example.org/resource/object71644,,,,,,,,
http://example.org/resource/subject69491,http://example.org/resource/object75667,http://example.org/resource/object4603,http://example.org/resource/object39359,,,,,,
http://example.org/resource/subject18463,http://example.org/resource/object17138,,,,,,,,
http://example.org/resource/subject21294,http://example.org/resource/object13501,,,,,,,,
http://example.org/resource/subject32945,http://example.org/resource/object71696,,,,,,,,
http://example.org/resource/subject26104,http://example.org/resource/object15074,,,,,,,,
http://example.org/resource/subject46351,http://example.org/resource/object93424,,,,,http://example.org/resource/object15429,,http://example.org/resource/object42912,
http://example.org/resource/subject78297,http://example.org/resource/object75883,,,http://example.org/resource/object97899,,,,,
http://example.org/resource/subject39197,http://example.org/resource/object457,,,,,,,,
http://example.org/resource/subject44266,http://example.org/resource/object58700,,,,,,,,http://example.org/resource/object98302
http://example.org/resource/subject5249,http://example.org/resource/object34224,,,,,,http://example.org/resource/object51677,,
http://example.org/resource/subject11418,http://example.org/resource/object54160,,,,http://example.org/resource/object84089,,,,
http://example.org/resource/subject40906,http://example.org/resource/object8133,,,,,,,,
http://example.org/resource/subject62155,http://example.org/resource/object20659,,,,,,,,
http://example.org/resource/subject5624,http://example.org/resource/object68753,,,,,,,,
