Subject,predicate18,predicate20,predicate17,predicate9,predicate5,predicate7,predicate6,predicate15,predicate4,predicate12
http://example.org/resource/subject35744,http://example.org/resource/object48004,http://example.org/resource/object7517,http://example.org/resource/object84594,,,http://example.org/resource/object72972,,,,
http://example.org/resource/subject83593,http://example.org/resource/object14748,,,,,,,,,
http://example.org/resource/subject90007,http://example.org/resource/object31475,,,,,,,http://example.org/resource/object9247,,
http://example.org/resource/subject17813,http://example.org/resource/object73233,,,http://example.org/resource/object12581,,,,,,
http://example.org/resource/subject16099,http://example.org/resource/object76369,,,,,,,,,
http://example.org/resource/subject78677,http://example.org/resource/object58286,,,,,,,,,
http://example.org/resource/subject98010,http://example.org/resource/object76615,,,,,,,,,
http://example.org/resource/subject64245,http://example.org/resource/object30421,,,,,,,,,
http://example.org/resource/subject32180,http://example.org/resource/object89930,,,,http://example.org/resource/object51924,,,,,
http://example.org/resource/subject90174,http://example.org/resource/object55752,,,,,,http://example.org/resource/object59177,,,
http://example.org/resource/subject17980,http://example.org/resource/object97429,,,,,,,,,
http://example.org/resource/subject75131,http://example.org/resource/object61680,,,,,,,,,
http://example.org/resource/subject87027,http://example.org/resource/object22675,,,,,http://example.org/resource/object43773,,,,
http://example.org/resource/subject96472,http://example.org/resource/object48509,,,http://example.org/resource/object118,,,,,,
http://example.org/resource/subject19130,http://example.org/resource/object52837,,,,,,,,,
http://example.org/resource/subject37487,http://example.org/resource/object99507,,,,,,,,http://example.org/resource/object75746,
http://example.org/resource/subject59745,http://example.org/resource/object43735,,,,,,,,,http://example.org/resource/object85533
http://example.org/resource/subject67494,http://example.org/resource/object34843,,,,,,,,,
http://example.org/resource/subject29506,http://example.org/resource/object74450,,,,,,,,,
