Subject,predicate20,predicate4,predicate14,predicate13,predicate9,predicate1,predicate6,predicate8,predicate10,predicate17,predicate19,predicate18,predicate15,predicate5,predicate12,predicate16,predicate11,predicate2,predicate21,predicate3,predicate7
http://example.org/resource/subject35364,http://example.org/resource/object64156,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject26693,http://example.org/resource/object24858,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject3547,http://example.org/resource/object35438,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject86925,http://example.org/resource/object48313,,,,,http://example.org/resource/object91550,,,,,,,,,,,,,,,
http://example.org/resource/subject2073,http://example.org/resource/object78998,,,,,,http://example.org/resource/object77769,,,,,,,,,http://example.org/resource/object97472,,,,,
http://example.org/resource/subject93960,http://example.org/resource/object46674,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject18978,http://example.org/resource/object73252,,http://example.org/resource/object43907,,,,,,http://example.org/resource/object18687,,,,,,,,,,,,
http://example.org/resource/subject12396,http://example.org/resource/object43965,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject99656,http://example.org/resource/object45192,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject86730,http://example.org/resource/object41411,,,,,,,,,,,,,,,,,,,http://example.org/resource/object33954,
http://example.org/resource/subject53489,http://example.org/resource/object99219,,,,,,,http://example.org/resource/object14591,,,,,,,,,http://example.org/resource/object52571,,,,
http://example.org/resource/subject88760,http://example.org/resource/object99048,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject98697,http://example.org/resource/object39935,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject9517,http://example.org/resource/object15064,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject95156,http://example.org/resource/object40538,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject58693,http://example.org/resource/object60877,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject14574,http://example.org/resource/object51490,,,,,,,,,,,,,,,,,,,,
http://example.org/resource/subject49142,http://example.org/resource/object89972,,,,,,,,,,,,,,,,,,,,
