Subject,predicate2,predicate5,predicate21,predicate9,predicate7,predicate8,predicate16
http://example.org/resource/subject63341,http://example.org/resource/object83436,,,,,http://example.org/resource/object12879,
http://example.org/resource/subject92779,http://example.org/resource/object47902,,,,,,
http://example.org/resource/subject9554,http://example.org/resource/object4070,,,,,,
http://example.org/resource/subject82787,http://example.org/resource/object65846,,,,,,
http://example.org/resource/subject42231,http://example.org/resource/object97540,,,,,,
http://example.org/resource/subject24566,http://example.org/resource/object427,,,,,,
http://example.org/resource/subject63471,http://example.org/resource/object19420,,,,,,
http://example.org/resource/subject70538,http://example.org/resource/object34376,,,,,,
http://example.org/resource/subject32468,http://example.org/resource/object95952,,,,,,
http://example.org/resource/subject70950,http://example.org/resource/object45929,http://example.org/resource/object19096,,,,,
http://example.org/resource/subject62530,http://example.org/resource/object25383,,,,,,
http://example.org/resource/subject40693,http://example.org/resource/object64478,,,,,,
http://example.org/resource/subject46407,http://example.org/resource/object13793,,,,,,
http://example.org/resource/subject25270,http://example.org/resource/object31894,,http://example.org/resource/object94386,,,,
http://example.org/resource/subject79479,http://example.org/resource/object49894,,,,,,
http://example.org/resource/subject23013,http://example.org/resource/object78160,,,http://example.org/resource/object73613,,,
http://example.org/resource/subject7232,http://example.org/resource/object55232,,,,,,
http://example.org/resource/subject8498,http://example.org/resource/object12824,,,,,,
http://example.org/resource/subject56909,http://example.org/resource/object25724,,,,,,
http://example.org/resource/subject80085,http://example.org/resource/object98743,,,,,,
http://example.org/resource/subject88798,http://example.org/resource/object98822,,,,http://example.org/resource/object10203,,
http://example.org/resource/subject65042,http://example.org/resource/object95036,,,,,,
http://example.org/resource/subject39248,http://example.org/resource/object9690,,,,,,
http://example.org/resource/subject16715,http://example.org/resource/object75783,,,,,,
http://example.org/resource/subject9225,http://example.org/resource/object3740,,,,,,
http://example.org/resource/subject64690,http://example.org/resource/object69812,,,,,,
http://example.org/resource/subject87282,http://example.org/resource/object15399,,,,,,
http://example.org/resource/subject25688,http://example.org/resource/object16443,,,,,,
http://example.org/resource/subject59263,http://example.org/resource/object58935,,,,,,
http://example.org/resource/subject22907,http://example.org/resource/object92740,,,,,,
http://example.org/resource/subject66609,http://example.org/resource/object88468,,,,,,
http://example.org/resource/subject25493,http://example.org/resource/object58890,,,,,,
http://example.org/resource/subject73875,http://example.org/resource/object2438,,,,,,
http://example.org/resource/subject40494,http://example.org/resource/object55563,,,,,,
http://example.org/resource/subject94753,"http://example.org/resource/object93427,http://example.org/resource/object57480",,,,,,
http://example.org/resource/subject55843,http://example.org/resource/object51123,,,,,,
http://example.org/resource/subject79140,http://example.org/resource/object61151,,,,,,
http://example.org/resource/subject49778,http://example.org/resource/object76352,,,,,,
http://example.org/resource/subject6607,http://example.org/resource/object86937,,,,,,
http://example.org/resource/subject26675,http://example.org/resource/object95829,http://example.org/resource/object65377,,,,,http://example.org/resource/object1194
http://example.org/resource/subject7543,http://example.org/resource/object9078,,,,,,
http://example.org/resource/subject9211,http://example.org/resource/object32890,,,,,,
http://example.org/resource/subject27212,http://example.org/resource/object58884,,,,,,
http://example.org/resource/subject93525,http://example.org/resource/object12649,,,,,,
