Subject,predicate14,predicate7,predicate1,predicate11,predicate12,predicate8
http://example.org/resource/subject53359,http://example.org/resource/object5421,,http://example.org/resource/object79694,,,
http://example.org/resource/subject60584,http://example.org/resource/object95444,,,,,
http://example.org/resource/subject49796,http://example.org/resource/object956,,http://example.org/resource/object82824,,,
http://example.org/resource/subject66520,http://example.org/resource/object42477,,,http://example.org/resource/object65176,,
http://example.org/resource/subject10746,http://example.org/resource/object61850,,,,,
http://example.org/resource/subject83556,http://example.org/resource/object90396,,,,,
http://example.org/resource/subject18788,http://example.org/resource/object58414,,,,,
http://example.org/resource/subject38826,http://example.org/resource/object82787,,,,,
http://example.org/resource/subject71859,http://example.org/resource/object25018,,,,http://example.org/resource/object38727,
http://example.org/resource/subject21215,http://example.org/resource/object19439,,,,,
http://example.org/resource/subject13828,http://example.org/resource/object18589,,,,,
http://example.org/resource/subject70728,http://example.org/resource/object73195,,,,,
http://example.org/resource/subject11413,http://example.org/resource/object72079,,,,,
http://example.org/resource/subject55857,http://example.org/resource/object10755,,,,,
http://example.org/resource/subject4285,http://example.org/resource/object64796,,,,,
http://example.org/resource/subject60445,http://example.org/resource/object35873,,,,,
http://example.org/resource/subject26554,http://example.org/resource/object26740,,,,,
http://example.org/resource/subject28964,http://example.org/resource/object44901,,,,,
http://example.org/resource/subject1030,http://example.org/resource/object66083,,,,,
http://example.org/resource/subject15798,http://example.org/resource/object88464,,,,,http://example.org/resource/object35417
http://example.org/resource/subject33552,http://example.org/resource/object4002,,,,,
http://example.org/resource/subject12447,http://example.org/resource/object34309,,,,,
http://example.org/resource/subject95091,http://example.org/resource/object46357,,,,,
http://example.org/resource/subject14667,http://example.org/resource/object22022,,,,,
http://example.org/resource/subject24844,http://example.org/resource/object28635,,,,,
http://example.org/resource/subject74519,http://example.org/resource/object84340,,,,,
http://example.org/resource/subject69862,http://example.org/resource/object37667,,,,,
http://example.org/resource/subject76068,http://example.org/resource/object86115,http://example.org/resource/object9195,,,,
