Subject,predicate5,predicate14,predicate22,predicate16,predicate10,predicate12,predicate13,predicate11,predicate4,predicate1,predicate18,predicate20,predicate2
http://example.org/resource/subject95443,http://example.org/resource/object9037,,,,,,,,,,,http://example.org/resource/object42852,
http://example.org/resource/subject27008,http://example.org/resource/object44298,,,,,,,,,,,,
http://example.org/resource/subject95388,http://example.org/resource/object4616,,,,,,,,,,,,
http://example.org/resource/subject36643,http://example.org/resource/object62765,,,,,,,,,,,,http://example.org/resource/object61286
http://example.org/resource/subject32718,http://example.org/resource/object96315,,,,,,,,,,,,
http://example.org/resource/subject84510,http://example.org/resource/object429,,,,,,,,,,,,
http://example.org/resource/subject4725,http://example.org/resource/object83984,,,,,,,,,,,,
http://example.org/resource/subject16284,http://example.org/resource/object49057,,,,,,http://example.org/resource/object61734,,,,,,
http://example.org/resource/subject28079,http://example.org/resource/object34320,,,,,,,,,,,,
http://example.org/resource/subject43700,http://example.org/resource/object19391,,,,,,,,,,,,
http://example.org/resource/subject11603,http://example.org/resource/object38068,,,,,,,,,,,,
http://example.org/resource/subject29390,http://example.org/resource/object62035,,,,,,,,,,,,
http://example.org/resource/subject72378,http://example.org/resource/object25689,,,,,,,,,,,,
http://example.org/resource/subject11395,"http://example.org/resource/object27552,http://example.org/resource/object29059",,,,,,,,,,,,
http://example.org/resource/subject14537,http://example.org/resource/object85661,,,,,,,,,,,,
http://example.org/resource/subject67702,http://example.org/resource/object13462,,,,,,,,,,,,
http://example.org/resource/subject4628,http://example.org/resource/object25924,,,,,,,,http://example.org/resource/object48679,,,,
http://example.org/resource/subject53442,"http://example.org/resource/object53325,http://example.org/resource/object43062",,,,,,,,,,,,
http://example.org/resource/subject97849,http://example.org/resource/object74544,,,,,,,,,,,,
http://example.org/resource/subject27073,http://example.org/resource/object14682,,,,,,,,,,,,
http://example.org/resource/subject47567,http://example.org/resource/object2544,,,,,,,,,,,,
http://example.org/resource/subject44869,http://example.org/resource/object84059,,,,,,,,,,,,
http://example.org/resource/subject2671,http://example.org/resource/object80117,,,,,,,,,,,,
http://example.org/resource/subject68541,http://example.org/resource/object58710,http://example.org/resource/object10682,,,,,,,,,,,
http://example.org/resource/subject72086,http://example.org/resource/object97099,,,,,,,,,,,,
http://example.org/resource/subject8419,,http://example.org/resource/object57359,,,,,,,,,,,
http://example.org/resource/subject51500,,http://example.org/resource/object55755,,,,,,,,,,,
http://example.org/resource/subject68486,,http://example.org/resource/object29724,,,,,,,,,,,
http://example.org/resource/subject81684,,http://example.org/resource/object95042,,,,,,http://example.org/resource/object98280,,,,,
http://example.org/resource/subject33228,http://example.org/resource/object27724,,,,,,,,,,,,
http://example.org/resource/subject71900,,http://example.org/resource/object4152,,,,,,,,,,,
http://example.org/resource/subject23273,,http://example.org/resource/object44626,,,,,,,,,,,
http://example.org/resource/subject35828,,http://example.org/resource/object93303,,,,,,,,,,,
http://example.org/resource/subject9160,http://example.org/resource/object75085,,,,,,,,,,,,
http://example.org/resource/subject55695,http://example.org/resource/object24681,,,,,,,,,,,,
http://example.org/resource/subject57933,,http://example.org/resource/object87752,,,,,,,,,,,
http://example.org/resource/subject30905,http://example.org/resource/object79374,,,,,,,,,,,,
http://example.org/resource/subject26030,http://example.org/resource/object90664,,,,,,,,http://example.org/resource/object45294,,,,
http://example.org/resource/subject59773,,http://example.org/resource/object21869,,,,,,,,,,,
http://example.org/resource/subject79145,,http://example.org/resource/object6711,,,,,,,,,,,
http://example.org/resource/subject4276,,http://example.org/resource/object46050,,,,,,,,,,,
http://example.org/resource/subject65645,,http://example.org/resource/object6719,,,,,,,,,,,
http://example.org/resource/subject7070,http://example.org/resource/object1123,,,,,,,,,,,,
http://example.org/resource/subject30900,,http://example.org/resource/object40341,,,,,,,,,,,
http://example.org/resource/subject97325,http://example.org/resource/object27151,,,,,,,,,,,,
http://example.org/resource/subject19409,,http://example.org/resource/object95715,,,,,,,,,,,
http://example.org/resource/subject34484,http://example.org/resource/object18283,,,,,,,,,,,,
http://example.org/resource/subject4651,,http://example.org/resource/object92233,,,,,,,,,,,
http://example.org/resource/subject72327,,http://example.org/resource/object42160,,,,,,,,,,,
http://example.org/resource/subject85475,,http://example.org/resource/object5688,,,http://example.org/resource/object87546,,,,,,,,
http://example.org/resource/subject70691,,http://example.org/resource/object61519,,,,,,,,,,,
http://example.org/resource/subject78941,,http://example.org/resource/object48417,http://example.org/resource/object7254,,,,,,,,,,
http://example.org/resource/subject36667,,http://example.org/resource/object14416,,http://example.org/resource/object93552,,,,,,,,,
http://example.org/resource/subject7168,,http://example.org/resource/object52426,,,,,,,,,,,
http://example.org/resource/subject86202,,http://example.org/resource/object76171,,,,,,,,,,,
http://example.org/resource/subject8312,,http://example.org/resource/object3950,,,,,,,,,,,
http://example.org/resource/subject71938,,,http://example.org/resource/object87530,,,,,,,,,,
http://example.org/resource/subject94141,,http://example.org/resource/object3076,,,,,,,,,,,
http://example.org/resource/subject52799,,,http://example.org/resource/object48804,,,,,,,,,,
http://example.org/resource/subject58392,,,http://example.org/resource/object71803,,,,,,,,,,
http://example.org/resource/subject26865,,http://example.org/resource/object36982,,,,,,,,,,,
http://example.org/resource/subject96741,,,http://example.org/resource/object48682,,,,,,,,,,
http://example.org/resource/subject3719,,,http://example.org/resource/object3327,,http://example.org/resource/object29087,,,,,,,,
http://example.org/resource/subject66312,,http://example.org/resource/object38385,,,,,,,,,,,
http://example.org/resource/subject28895,,,http://example.org/resource/object92911,,,,,,,,,,
http://example.org/resource/subject12206,,,http://example.org/resource/object63888,,,,,,,,,,
http://example.org/resource/subject42408,,,http://example.org/resource/object96416,,,,,,,,,,
http://example.org/resource/subject47516,,,http://example.org/resource/object12804,,,,,,,,,,
http://example.org/resource/subject74867,,,http://example.org/resource/object24590,,,http://example.org/resource/object10953,,,,http://example.org/resource/object53243,,,
http://example.org/resource/subject62781,,,http://example.org/resource/object88801,,,,,,,,,,
http://example.org/resource/subject74677,,,http://example.org/resource/object72458,,,,,,,,,,
http://example.org/resource/subject24603,,,http://example.org/resource/object70791,,,,,,,,,,
http://example.org/resource/subject29052,,,http://example.org/resource/object16949,,,,,,,,http://example.org/resource/object37269,,
http://example.org/resource/subject12980,,,http://example.org/resource/object22949,,,,http://example.org/resource/object85440,,,,,,
http://example.org/resource/subject6964,,,http://example.org/resource/object78236,,,,,,,,,,
http://example.org/resource/subject24965,http://example.org/resource/object6168,,http://example.org/resource/object60087,,,,,,,,,,
